0.05019	1.67416E-6	0.05603	7.105E-10
1.00798	1.67462E-6	1.00678	6.996E-10
2.0081	1.6772E-6	2.0069	7.16E-10
3.00821	1.67849E-6	3.00714	7.171E-10
4.00834	1.67954E-6	4.00716	7.22E-10
5.00845	1.68068E-6	5.00728	7.285E-10
6.00857	1.68184E-6	6.00738	7.258E-10
7.00869	1.68184E-6	7.0075	7.378E-10
8.00879	1.68227E-6	8.00765	7.439E-10
9.00892	1.68343E-6	9.00778	7.524E-10
10.00906	1.68372E-6	10.00789	7.476E-10
11.00915	1.68521E-6	11.00802	7.725E-10
12.0093	1.68513E-6	12.00815	7.719E-10
13.0094	1.68592E-6	13.00828	7.75E-10
14.00952	1.68547E-6	14.0084	7.913E-10
15.00965	1.6845E-6	15.00965	7.885E-10
16.00975	1.68486E-6	16.00977	8.016E-10
17.00989	1.68516E-6	17.00988	7.895E-10
18.01	1.68485E-6	18.01	7.967E-10
19.01015	1.68635E-6	19.01014	8.04E-10
20.01024	1.68728E-6	20.01026	8.07E-10
21.01038	1.6874E-6	21.01037	8.243E-10
22.0105	1.68847E-6	22.0105	8.252E-10
23.01059	1.68816E-6	23.01063	8.193E-10
24.01073	1.68807E-6	24.01076	8.271E-10
25.01084	1.68834E-6	25.01087	8.293E-10
26.01095	1.68906E-6	26.01098	8.328E-10
27.01109	1.68869E-6	27.01111	8.304E-10
28.01119	1.69162E-6	28.01124	8.339E-10
29.01133	1.69001E-6	29.01138	8.474E-10
30.01153	1.69025E-6	30.01234	8.456E-10
31.01157	1.69043E-6	31.01247	8.516E-10
32.01171	1.69064E-6	32.01259	8.576E-10
33.03149	1.69041E-6	33.01272	8.632E-10
34.01192	1.69095E-6	34.01283	8.692E-10
35.01207	1.69108E-6	35.01294	8.678E-10
36.01218	1.69078E-6	36.01308	8.772E-10
37.01471	1.69079E-6	37.0132	8.803E-10
38.01353	1.69164E-6	38.01333	8.699E-10
39.0139	1.6925E-6	39.01346	8.832E-10
40.01378	1.69214E-6	40.0136	8.841E-10
41.01389	1.69241E-6	41.01372	8.851E-10
42.01402	1.69285E-6	42.01383	8.808E-10
43.01415	1.69312E-6	43.01395	8.94E-10
44.01426	1.69271E-6	44.01407	8.899E-10
45.01438	1.69221E-6	45.01454	8.938E-10
46.0145	1.69282E-6	46.01472	9.041E-10
47.01459	1.69333E-6	47.01453	9.061E-10
48.01474	1.69327E-6	48.01469	9.037E-10
49.01484	1.69448E-6	49.01504	9.082E-10
50.01499	1.69388E-6	50.0152	9.153E-10
51.0151	1.69369E-6	51.01536	9.111E-10
52.01522	1.6929E-6	52.01552	9.094E-10
53.01536	1.69289E-6	53.01565	9.196E-10
54.01547	1.69467E-6	54.01581	9.199E-10
55.01561	1.69548E-6	55.01606	9.26E-10
56.01578	1.69486E-6	56.01611	9.304E-10
57.01584	1.69469E-6	57.01626	9.2E-10
58.01597	1.69548E-6	58.0164	9.281E-10
59.01678	1.69579E-6	59.01656	9.278E-10
60.0169	1.69473E-6	60.0167	9.361E-10
61.017	1.69497E-6	61.01823	9.419E-10
62.01713	1.69558E-6	62.01838	9.378E-10
63.01726	1.69735E-6	63.01852	9.403E-10
64.01735	1.6967E-6	64.01869	9.451E-10
65.01752	1.69802E-6	65.01885	9.439E-10
66.01763	1.69466E-6	66.01896	9.547E-10
67.01771	1.69462E-6	67.01908	9.548E-10
68.01786	1.69484E-6	68.0192	9.487E-10
69.01796	1.69627E-6	69.01934	9.545E-10
70.0181	1.69511E-6	70.01947	9.461E-10
71.01827	1.69615E-6	71.01959	9.576E-10
72.01833	1.69686E-6	72.0197	9.629E-10
73.01847	1.69612E-6	73.01984	9.667E-10
74.01861	1.69608E-6	74.01996	9.617E-10
75.01873	1.69538E-6	75.02007	9.651E-10
76.01886	1.69753E-6	76.0202	9.796E-10
77.01899	1.69691E-6	77.02078	9.791E-10
78.0191	1.696E-6	78.02048	9.777E-10
79.01923	1.69629E-6	79.02059	9.734E-10
80.01951	1.69746E-6	80.02072	9.745E-10
81.01964	1.69761E-6	81.02087	9.866E-10
82.01974	1.6967E-6	82.02103	9.917E-10
83.0199	1.69729E-6	83.02118	9.866E-10
84.02	1.69691E-6	84.02135	9.803E-10
85.02016	1.69726E-6	85.0215	9.846E-10
86.02029	1.69753E-6	86.02163	9.849E-10
87.02041	1.69819E-6	87.0218	9.863E-10
88.02055	1.69748E-6	88.02195	9.834E-10
89.02079	1.69724E-6	89.0221	9.947E-10
90.02079	1.69721E-6	90.02224	9.901E-10
91.02092	1.6977E-6	91.02241	1.0056E-9
92.02106	1.69776E-6	92.02254	1.0001E-9
93.02119	1.69768E-6	93.02327	9.934E-10
94.02133	1.69782E-6	94.023	1.0039E-9
95.02146	1.69777E-6	95.02316	1.0099E-9
96.02166	1.69798E-6	96.02394	1.0151E-9
97.02182	1.69869E-6	97.02406	1.0085E-9
98.02188	1.69866E-6	98.02419	1.0194E-9
99.02203	1.69816E-6	99.02432	1.0085E-9
100.02212	1.69831E-6	100.02451	1.0057E-9
101.02224	1.69812E-6	101.02463	1.0055E-9
102.02236	1.6989E-6	102.02476	1.0117E-9
103.02248	1.69886E-6	103.02489	1.0156E-9
104.02261	1.69852E-6	104.02504	1.0077E-9
105.02271	1.69781E-6	105.02518	1.0152E-9
106.02284	1.69812E-6	106.02531	1.0141E-9
107.02296	1.69869E-6	107.02543	1.0177E-9
108.02307	1.69861E-6	108.02558	1.0224E-9
109.02319	1.69672E-6	109.02568	1.0292E-9
110.0234	1.69822E-6	110.0258	1.0247E-9
111.0234	1.69819E-6	111.02594	1.0275E-9
112.02355	1.69832E-6	112.02609	1.0419E-9
113.02366	1.69975E-6	113.02622	1.0284E-9
114.02378	1.69833E-6	114.02633	1.0268E-9
115.02392	1.69827E-6	115.02648	1.0339E-9
116.02401	1.69676E-6	116.02662	1.0392E-9
117.02415	1.6982E-6	117.02672	1.0384E-9
118.02426	1.69757E-6	118.02686	1.029E-9
119.02439	1.69764E-6	119.02701	1.0381E-9
120.02637	1.69684E-6	120.02714	1.0446E-9
121.02463	1.69755E-6	121.02727	1.0428E-9
122.02477	1.69726E-6	122.02739	1.0375E-9
123.02487	1.69926E-6	123.02916	1.0396E-9
124.02499	1.69974E-6	124.02931	1.0402E-9
125.02512	1.69968E-6	125.02944	1.052E-9
126.02522	1.70025E-6	126.02957	1.0532E-9
127.02537	1.69917E-6	127.02968	1.054E-9
128.02548	1.69862E-6	128.02981	1.0563E-9
129.02559	1.69816E-6	129.02996	1.0406E-9
130.02574	1.69771E-6	130.03007	1.0601E-9
131.02589	1.6984E-6	131.03039	1.0588E-9
132.02602	1.69862E-6	132.03053	1.0648E-9
133.02614	1.69873E-6	133.03068	1.0653E-9
134.02626	1.69889E-6	134.03081	1.0635E-9
135.02639	1.69897E-6	135.03092	1.0703E-9
136.02651	1.69803E-6	136.03104	1.0572E-9
137.02663	1.69851E-6	137.03119	1.0651E-9
138.02678	1.69818E-6	138.03131	1.0605E-9
139.03053	1.69857E-6	139.03144	1.0644E-9
140.02962	1.69883E-6	140.03159	1.0677E-9
141.02975	1.69782E-6	141.03172	1.0685E-9
142.02985	1.69834E-6	142.03185	1.0712E-9
143.02998	1.69822E-6	143.03197	1.0665E-9
144.03011	1.69931E-6	144.0321	1.0759E-9
145.0302	1.69917E-6	145.03223	1.0702E-9
146.03033	1.69859E-6	146.03238	1.0727E-9
147.03045	1.6973E-6	147.0325	1.0659E-9
148.03058	1.69726E-6	148.03261	1.0643E-9
149.03069	1.69682E-6	149.03274	1.0773E-9
150.03079	1.69721E-6	150.03288	1.0837E-9
151.03092	1.69822E-6	151.033	1.0838E-9
152.03104	1.69766E-6	152.03331	1.078E-9
153.03114	1.69881E-6	153.03346	1.0812E-9
154.03128	1.69839E-6	154.03359	1.0744E-9
155.03139	1.69761E-6	155.03453	1.0816E-9
156.03151	1.69736E-6	156.03465	1.0841E-9
157.03163	1.69765E-6	157.03477	1.0753E-9
158.03341	1.69728E-6	158.03492	1.0877E-9
159.03322	1.6976E-6	159.03504	1.0854E-9
160.03335	1.69759E-6	160.03516	1.0856E-9
161.03347	1.69676E-6	161.03527	1.0922E-9
162.03357	1.69757E-6	162.0355	1.0737E-9
163.03379	1.69771E-6	163.03555	1.0897E-9
164.03381	1.6971E-6	164.03566	1.0963E-9
165.03395	1.69713E-6	165.0358	1.0871E-9
166.03408	1.69645E-6	166.03593	1.1058E-9
167.03419	1.69649E-6	167.03608	1.0893E-9
168.03431	1.69766E-6	168.0362	1.0922E-9
169.03445	1.69881E-6	169.03632	1.0888E-9
170.03456	1.69847E-6	170.03643	1.097E-9
171.0347	1.69902E-6	171.03749	1.0965E-9
172.0348	1.69927E-6	172.03751	1.0984E-9
173.03494	1.69816E-6	173.03763	1.0988E-9
174.03507	1.69757E-6	174.03775	1.1083E-9
175.03516	1.69703E-6	175.03789	1.1008E-9
176.03531	1.69747E-6	176.038	1.1036E-9
177.03655	1.69789E-6	177.03815	1.0991E-9
178.03583	1.69743E-6	178.03827	1.1002E-9
179.03594	1.69683E-6	179.03839	1.1025E-9
180.03608	1.69701E-6	180.0385	1.1049E-9
181.03622	1.6971E-6	181.03864	1.108E-9
182.03632	1.697E-6	182.03877	1.1161E-9
183.03646	1.69707E-6	183.03888	1.1111E-9
