9.88855	7.837E-10	9.91352	1.3988E-9	10.12307	1.8151E-9	9.84877	2.1689E-9	9.84333	2.988E-9	9.89071	2.5349E-9	9.88855	7.49314E-10	9.91352	1.37893E-9	10.12307	1.84399E-9	9.84877	2.17961E-9	9.89071	2.51786E-9	9.84333	2.97432E-9
10.42002	7.246E-10	10.46485	1.3619E-9	10.66955	1.8502E-9	10.44293	2.2445E-9	10.33306	2.9846E-9	10.4335	2.5341E-9	10.42002	7.50536E-10	10.46485	1.37863E-9	10.66955	1.84439E-9	10.44293	2.17688E-9	10.4335	2.52024E-9	10.33306	2.9649E-9
10.98222	7.602E-10	11.03058	1.3878E-9	11.23342	1.8442E-9	10.98057	2.2082E-9	10.86238	2.9838E-9	11.00491	2.4927E-9	10.98222	7.50168E-10	11.03058	1.37785E-9	11.23342	1.84663E-9	10.98057	2.17455E-9	11.00491	2.52626E-9	10.86238	2.96043E-9
11.51491	7.218E-10	11.56848	1.3753E-9	11.7668	1.8137E-9	11.52599	2.1433E-9	11.44038	2.9185E-9	11.55844	2.6021E-9	11.51491	7.49444E-10	11.56848	1.3763E-9	11.7668	1.85036E-9	11.52599	2.16955E-9	11.55844	2.53023E-9	11.44038	2.95378E-9
12.05496	7.32E-10	12.10529	1.3581E-9	12.30276	1.8137E-9	12.02444	2.1685E-9	11.98086	2.9706E-9	12.05524	2.5343E-9	12.05496	7.48605E-10	12.10529	1.37601E-9	12.30276	1.85163E-9	12.02444	2.16765E-9	12.05524	2.53157E-9	11.98086	2.95418E-9
12.5937	7.414E-10	12.64374	1.3548E-9	12.8342	1.9161E-9	12.59917	2.248E-9	12.51906	2.8979E-9	12.62441	2.5621E-9	12.5937	7.46113E-10	12.64374	1.37602E-9	12.8342	1.85301E-9	12.59917	2.16561E-9	12.62441	2.52857E-9	12.51906	2.95872E-9
13.13199	7.807E-10	13.19893	1.3712E-9	13.37772	1.8589E-9	13.15751	2.1961E-9	13.01755	2.9827E-9	13.16833	2.4265E-9	13.13199	7.45831E-10	13.19893	1.37489E-9	13.37772	1.85338E-9	13.15751	2.16753E-9	13.16833	2.52923E-9	13.01755	2.95469E-9
13.69681	7.191E-10	13.73742	1.3832E-9	13.92062	1.8411E-9	13.70169	2.186E-9	13.62551	2.9701E-9	13.67344	2.5326E-9	13.69681	7.44434E-10	13.73742	1.37354E-9	13.92062	1.8547E-9	13.70169	2.16355E-9	13.67344	2.53269E-9	13.62551	2.95372E-9
14.24612	7.663E-10	14.27828	1.381E-9	14.51157	1.8571E-9	14.20401	2.1687E-9	14.14523	2.9829E-9	14.25369	2.4858E-9	14.24612	7.43027E-10	14.27828	1.3723E-9	14.51157	1.85454E-9	14.20401	2.15797E-9	14.25369	2.53275E-9	14.14523	2.94951E-9
14.79956	7.042E-10	14.79802	1.3736E-9	15.05386	1.8957E-9	14.79107	2.1383E-9	14.74104	2.8976E-9	14.76467	2.5347E-9	14.79956	7.45338E-10	14.79802	1.37158E-9	15.05386	1.85212E-9	14.79107	2.15501E-9	14.76467	2.52932E-9	14.74104	2.9478E-9
15.34706	7.625E-10	15.32931	1.3657E-9	15.59642	1.8551E-9	15.35209	2.1684E-9	15.26396	2.9304E-9	15.35675	2.58E-9	15.34706	7.49858E-10	15.32931	1.36946E-9	15.59642	1.85256E-9	15.35209	2.1535E-9	15.35675	2.5302E-9	15.26396	2.94255E-9
15.88862	7.762E-10	15.85411	1.3866E-9	16.13763	1.8758E-9	15.90762	2.0962E-9	15.81628	2.9803E-9	15.88381	2.5758E-9	15.88862	7.52387E-10	15.85411	1.36926E-9	16.13763	1.85457E-9	15.90762	2.15161E-9	15.88381	2.5284E-9	15.81628	2.94069E-9
16.43426	7.698E-10	16.42224	1.3552E-9	16.67822	1.8451E-9	16.40606	2.1672E-9	16.40177	2.9221E-9	16.42439	2.5765E-9	16.43426	7.50336E-10	16.42224	1.36697E-9	16.67822	1.85771E-9	16.40606	2.15008E-9	16.42439	2.52873E-9	16.40177	2.94164E-9
16.96639	7.41E-10	16.95957	1.3764E-9	17.21787	1.8397E-9	16.98677	2.0915E-9	16.94186	2.9298E-9	16.91967	2.5341E-9	16.96639	7.50776E-10	16.95957	1.3655E-9	17.21787	1.8576E-9	16.98677	2.14363E-9	16.91967	2.5293E-9	16.94186	2.94488E-9
17.51053	7.827E-10	17.49104	1.3708E-9	17.77979	1.8454E-9	17.48331	2.1669E-9	17.47851	2.9095E-9	17.49444	2.4207E-9	17.51053	7.49228E-10	17.49104	1.36498E-9	17.77979	1.85666E-9	17.48331	2.13864E-9	17.49444	2.52814E-9	17.47851	2.9441E-9
18.04917	7.612E-10	18.03382	1.3772E-9	18.31717	1.8908E-9	18.08609	2.0624E-9	18.04451	2.9669E-9	18.36183	2.6169E-9	18.04917	7.49807E-10	18.03382	1.36348E-9	18.31717	1.85855E-9	18.08609	2.13389E-9	18.36183	2.52457E-9	18.04451	2.94413E-9
18.58435	7.12E-10	18.56967	1.3526E-9	18.85776	1.8656E-9	18.58468	2.1672E-9	18.56666	2.9798E-9	18.93018	2.5336E-9	18.58435	7.5199E-10	18.56967	1.36351E-9	18.85776	1.85676E-9	18.58468	2.13269E-9	18.93018	2.5254E-9	18.56666	2.94378E-9
19.12724	7.261E-10	19.10967	1.349E-9	19.39434	1.8372E-9	19.17058	2.0712E-9	19.14284	2.9266E-9	19.47248	2.4694E-9	19.12724	7.5052E-10	19.10967	1.36166E-9	19.39434	1.85401E-9	19.17058	2.13596E-9	19.47248	2.52695E-9	19.14284	2.94598E-9
19.67996	7.37E-10	19.65264	1.3705E-9	19.9462	1.8206E-9	19.6716	2.168E-9	19.62764	2.9797E-9	20.0191	2.5169E-9	19.67996	7.50099E-10	19.65264	1.36108E-9	19.9462	1.85289E-9	19.6716	2.13615E-9	20.0191	2.52344E-9	19.62764	2.95256E-9
20.20098	7.326E-10	20.22376	1.3468E-9	20.53068	1.8194E-9	20.24674	2.0968E-9	20.24225	2.9199E-9	20.53802	2.5329E-9	20.20098	7.51055E-10	20.22376	1.35926E-9	20.53068	1.8492E-9	20.24674	2.13695E-9	20.53802	2.52913E-9	20.24225	2.95137E-9
20.75839	7.721E-10	20.76492	1.3447E-9	21.07546	1.8573E-9	20.75212	2.169E-9	20.7807	2.8865E-9	21.08044	2.5308E-9	20.75839	7.49713E-10	20.76492	1.35757E-9	21.07546	1.8443E-9	20.75212	2.13902E-9	21.08044	2.53193E-9	20.7807	2.95506E-9
21.29618	7.861E-10	21.31196	1.3636E-9	21.61881	1.8481E-9	21.34091	2.1429E-9	21.27713	2.9779E-9	21.65893	2.5301E-9	21.29618	7.5051E-10	21.31196	1.35446E-9	21.61881	1.84517E-9	21.34091	2.14489E-9	21.65893	2.53635E-9	21.27713	2.95162E-9
21.83709	7.823E-10	21.84119	1.3675E-9	22.15827	1.8308E-9	21.85961	2.1691E-9	21.81477	2.9766E-9	22.1949	2.4669E-9	21.83709	7.51618E-10	21.84119	1.35295E-9	22.15827	1.84362E-9	21.85961	2.15065E-9	22.1949	2.53151E-9	21.81477	2.95344E-9
22.37168	7.589E-10	22.38635	1.3421E-9	22.69535	1.8638E-9	22.42102	2.1687E-9	22.40516	2.9777E-9	22.72092	2.531E-9	22.37168	7.52055E-10	22.38635	1.35136E-9	22.69535	1.84041E-9	22.42102	2.15652E-9	22.72092	2.53352E-9	22.40516	2.95535E-9
22.90943	7.188E-10	22.9492	1.3449E-9	23.23883	1.8845E-9	22.96308	2.1676E-9	22.94299	2.9777E-9	23.30894	2.5826E-9	22.90943	7.54906E-10	22.9492	1.35002E-9	23.23883	1.83788E-9	22.96308	2.16205E-9	23.30894	2.529E-9	22.94299	2.95845E-9
23.4461	7.062E-10	23.51288	1.3608E-9	23.77585	1.8585E-9	23.50234	2.1672E-9	23.48641	2.9762E-9	23.8046	2.5317E-9	23.4461	7.53139E-10	23.51288	1.34879E-9	23.77585	1.83638E-9	23.50234	2.16867E-9	23.8046	2.53128E-9	23.48641	2.95758E-9
23.98471	7.204E-10	24.06684	1.3366E-9	24.31423	1.83E-9	24.04992	2.1673E-9	24.09281	2.988E-9	24.3418	2.5314E-9	23.98471	7.53641E-10	24.06684	1.34754E-9	24.31423	1.8341E-9	24.04992	2.17351E-9	24.3418	2.5358E-9	24.09281	2.95794E-9
24.53764	7.934E-10	24.62308	1.3524E-9	24.8512	1.7792E-9	24.59058	2.1689E-9	24.6369	2.942E-9	24.88592	2.5325E-9	24.53764	7.5438E-10	24.62308	1.34775E-9	24.8512	1.83512E-9	24.59058	2.1708E-9	24.88592	2.54056E-9	24.6369	2.96096E-9
25.06231	7.616E-10	25.16448	1.3515E-9	25.40183	1.8624E-9	25.17603	2.1923E-9	25.18136	2.8898E-9	25.45179	2.5308E-9	25.06231	7.54489E-10	25.16448	1.34629E-9	25.40183	1.83505E-9	25.17603	2.1723E-9	25.45179	2.54575E-9	25.18136	2.95863E-9
25.59448	7.587E-10	25.70403	1.3506E-9	25.9173	1.8486E-9	25.67185	2.1677E-9	25.70328	2.9762E-9	26.00711	2.5773E-9	25.59448	7.50225E-10	25.70403	1.34643E-9	25.9173	1.83386E-9	25.67185	2.17549E-9	26.00711	2.54909E-9	25.70328	2.96001E-9
