Loading model: tiny_vit_5m_224
Total model parameters: 5,392,764


── Detailed Layer Profiling ──

| Layer Name                              | Type                      | Weight Shape   | M×N      |   Params | Tag     | Arrays(diff)   |
| stages.2.blocks.3.local_conv.conv       | DWConv2d(g=160,k=(3, 3))  | 160×1×3×3      | 160×9    |    1,440 | digital | —              |
| stages.2.blocks.4.attn.qkv              | Linear                    | 480×160        | 480×160  |   77,280 | analog  | 16             |
| stages.2.blocks.4.attn.proj             | Linear                    | 160×160        | 160×160  |   25,760 | analog  | 8              |
| stages.2.blocks.4.mlp.fc1               | Linear                    | 640×160        | 640×160  |  103,040 | analog  | 20             |
| stages.2.blocks.4.mlp.fc2               | Linear                    | 160×640        | 160×640  |  102,560 | analog  | 20             |
| stages.2.blocks.4.local_conv.conv       | DWConv2d(g=160,k=(3, 3))  | 160×1×3×3      | 160×9    |    1,440 | digital | —              |
| stages.2.blocks.5.attn.qkv              | Linear                    | 480×160        | 480×160  |   77,280 | analog  | 16             |
| stages.2.blocks.5.attn.proj             | Linear                    | 160×160        | 160×160  |   25,760 | analog  | 8              |
| stages.2.blocks.5.mlp.fc1               | Linear                    | 640×160        | 640×160  |  103,040 | analog  | 20             |
| stages.2.blocks.5.mlp.fc2               | Linear                    | 160×640        | 160×640  |  102,560 | analog  | 20             |
| stages.2.blocks.5.local_conv.conv       | DWConv2d(g=160,k=(3, 3))  | 160×1×3×3      | 160×9    |    1,440 | digital | —              |
| stages.3.downsample.conv1.conv          | Conv2d(k=(1, 1),s=(1, 1)) | 320×160×1×1    | 320×160  |   51,200 | digital | —              |
| stages.3.downsample.conv2.conv          | DWConv2d(g=320,k=(3, 3))  | 320×1×3×3      | 320×9    |    2,880 | digital | —              |
| stages.3.downsample.conv3.conv          | Conv2d(k=(1, 1),s=(1, 1)) | 320×320×1×1    | 320×320  |  102,400 | digital | —              |
| stages.3.blocks.0.attn.qkv              | Linear                    | 960×320        | 960×320  |  308,160 | analog  | 48             |
| stages.3.blocks.0.attn.proj             | Linear                    | 320×320        | 320×320  |  102,720 | analog  | 18             |
