2.9365	1.875E-10	2.9309	4.492E-10	2.94042	3.349E-10	2.94011	1.484E-10	2.93355	5.322E-10	2.93401	5.575E-10	2.93341	2.767E-10	2.94356	5.098E-10
3.03527	1.861E-10	3.03102	4.478E-10	3.03859	3.251E-10	3.04023	1.492E-10	3.03368	5.322E-10	3.03414	5.567E-10	3.03477	2.744E-10	3.04057	5.105E-10
3.13687	1.846E-10	3.1319	4.485E-10	3.13978	3.258E-10	3.14375	1.486E-10	3.13381	5.325E-10	3.13569	5.576E-10	3.13367	2.7E-10	3.14071	5.081E-10
3.23589	1.834E-10	3.23375	4.498E-10	3.23955	3.176E-10	3.24192	1.411E-10	3.23394	5.337E-10	3.23439	5.588E-10	3.23398	2.667E-10	3.24219	5.111E-10
3.33858	1.826E-10	3.3325	4.504E-10	3.34086	3.119E-10	3.34204	1.434E-10	3.33407	5.345E-10	3.33595	5.613E-10	3.33519	2.667E-10	3.34194	5.165E-10
3.43718	1.792E-10	3.43263	4.504E-10	3.4412	3.053E-10	3.44217	1.405E-10	3.43423	5.345E-10	3.43469	5.629E-10	3.43529	2.603E-10	3.44205	5.153E-10
3.5373	1.794E-10	3.53463	4.488E-10	3.5411	3.022E-10	3.5423	1.365E-10	3.53435	5.352E-10	3.53481	5.634E-10	3.53796	2.527E-10	3.5464	5.171E-10
3.63881	1.769E-10	3.63462	4.51E-10	3.64593	2.979E-10	3.64242	1.39E-10	3.6442	5.359E-10	3.64	5.654E-10	3.63684	2.526E-10	3.64413	5.148E-10
3.73887	1.741E-10	3.73591	4.532E-10	3.74455	2.915E-10	3.74255	1.335E-10	3.7396	5.347E-10	3.73831	5.658E-10	3.73696	2.499E-10	3.74425	5.173E-10
3.83898	1.741E-10	3.83567	4.525E-10	3.84642	2.879E-10	3.84268	1.483E-10	3.84009	5.354E-10	3.83843	5.66E-10	3.8387	2.455E-10	3.84599	5.174E-10
3.9391	1.732E-10	3.9358	4.539E-10	3.94495	2.828E-10	3.9428	1.462E-10	3.93996	5.36E-10	3.94127	5.678E-10	3.93721	2.441E-10	3.94612	5.173E-10
4.03926	1.713E-10	4.03661	4.541E-10	4.04507	2.795E-10	4.0443	1.501E-10	4.04008	5.36E-10	4.04023	5.691E-10	4.03734	2.39E-10	4.04625	5.189E-10
4.13938	1.701E-10	4.13646	4.545E-10	4.14721	2.759E-10	4.14337	1.349E-10	4.14063	5.365E-10	4.14315	5.696E-10	4.13986	2.314E-10	4.1485	5.208E-10
4.23951	1.682E-10	4.23662	4.56E-10	4.24591	2.715E-10	4.2435	1.372E-10	4.24035	5.367E-10	4.24183	5.697E-10	4.23849	2.31E-10	4.24838	5.212E-10
4.34099	1.677E-10	4.33813	4.543E-10	4.34603	2.676E-10	4.34362	1.331E-10	4.34216	5.381E-10	4.34195	5.709E-10	4.33997	2.298E-10	4.34854	5.21E-10
4.4407	1.682E-10	4.43688	4.558E-10	4.4473	2.626E-10	4.44373	1.427E-10	4.44115	5.383E-10	4.4425	5.727E-10	4.43875	2.285E-10	4.45024	5.221E-10
4.54089	1.657E-10	4.53701	4.568E-10	4.547	2.58E-10	4.54385	1.384E-10	4.54121	5.395E-10	4.5422	5.74E-10	4.53891	2.237E-10	4.54915	5.225E-10
4.64102	1.648E-10	4.63714	4.591E-10	4.64859	2.594E-10	4.64717	1.309E-10	4.64133	5.394E-10	4.64464	5.753E-10	4.64099	2.218E-10	4.65077	5.21E-10
4.74116	1.644E-10	4.73845	4.588E-10	4.74726	2.539E-10	4.74686	1.414E-10	4.74146	5.388E-10	4.7431	5.756E-10	4.73988	2.217E-10	4.74966	5.214E-10
4.84129	1.645E-10	4.83743	4.584E-10	4.84738	2.523E-10	4.84703	1.377E-10	4.84158	5.409E-10	4.8447	5.781E-10	4.84001	2.157E-10	4.84979	5.234E-10
4.94146	1.616E-10	4.93892	4.59E-10	4.95064	2.481E-10	4.94713	1.394E-10	4.94439	5.415E-10	4.94487	5.792E-10	4.94021	2.148E-10	4.95179	5.252E-10
5.04161	1.61E-10	5.03863	4.601E-10	5.04919	2.404E-10	5.05028	1.387E-10	5.04294	5.4E-10	5.04499	5.79E-10	5.04087	2.127E-10	5.05147	5.238E-10
5.14436	1.594E-10	5.13881	4.615E-10	5.15022	2.415E-10	5.14861	1.367E-10	5.145	5.422E-10	5.14577	5.798E-10	5.14081	2.139E-10	5.1531	5.273E-10
5.2444	1.612E-10	5.23893	4.62E-10	5.25031	2.386E-10	5.24997	1.331E-10	5.24471	5.432E-10	5.2455	5.823E-10	5.24093	2.076E-10	5.25274	5.285E-10
5.34452	1.573E-10	5.33905	4.611E-10	5.3521	2.35E-10	5.34922	1.342E-10	5.34483	5.429E-10	5.34786	5.826E-10	5.34221	2.039E-10	5.35341	5.306E-10
5.44758	1.565E-10	5.43965	4.622E-10	5.45066	2.309E-10	5.44931	1.339E-10	5.44639	5.369E-10	5.44679	5.836E-10	5.44149	2.044E-10	5.4531	5.307E-10
5.54628	1.566E-10	5.53949	4.634E-10	5.55069	2.264E-10	5.55045	1.327E-10	5.54509	5.427E-10	5.54691	5.85E-10	5.543	1.988E-10	5.55321	5.299E-10
5.64828	1.556E-10	5.64141	4.68E-10	5.65418	2.265E-10	5.65025	1.339E-10	5.64732	5.415E-10	5.64825	5.876E-10	5.64199	1.974E-10	5.65487	5.327E-10
5.74705	1.547E-10	5.74004	4.646E-10	5.75279	2.273E-10	5.75037	1.317E-10	5.74692	5.408E-10	5.74749	5.882E-10	5.7421	1.979E-10	5.7538	5.326E-10
5.84844	1.539E-10	5.84019	4.639E-10	5.85484	2.209E-10	5.85076	1.329E-10	5.84818	5.426E-10	5.84762	5.879E-10	5.84575	1.933E-10	5.85719	5.322E-10
5.94731	1.501E-10	5.94212	4.659E-10	5.95458	2.168E-10	5.95061	1.321E-10	5.94755	5.408E-10	5.94821	5.895E-10	5.94388	1.928E-10	5.95453	5.339E-10
6.04747	1.529E-10	6.04076	4.663E-10	6.05469	2.121E-10	6.05352	1.238E-10	6.04767	5.484E-10	6.04793	5.91E-10	6.04402	1.911E-10	6.05466	5.346E-10
6.14912	1.508E-10	6.14533	4.643E-10	6.15671	2.149E-10	6.1526	1.24E-10	6.14807	5.492E-10	6.1493	5.928E-10	6.14415	1.888E-10	6.15544	5.377E-10
6.248	1.519E-10	6.2436	4.667E-10	6.25594	2.139E-10	6.25273	1.335E-10	6.24792	5.453E-10	6.24855	5.94E-10	6.24656	1.877E-10	6.25515	5.38E-10
6.34813	1.504E-10	6.34371	4.677E-10	6.35607	2.102E-10	6.35441	1.315E-10	6.35024	5.484E-10	6.34867	5.948E-10	6.34544	1.851E-10	6.35532	5.399E-10
6.44825	1.508E-10	6.44384	4.723E-10	6.45943	2.077E-10	6.45452	1.336E-10	6.44914	5.478E-10	6.44934	5.948E-10	6.44557	1.812E-10	6.45579	5.379E-10
6.54838	1.502E-10	6.54396	4.7E-10	6.55927	2.039E-10	6.55693	1.326E-10	6.54925	5.455E-10	6.54945	5.972E-10	6.54792	1.828E-10	6.55553	5.404E-10
6.65185	1.479E-10	6.64695	4.719E-10	6.66181	2.026E-10	6.65549	1.312E-10	6.6509	5.538E-10	6.64961	5.986E-10	6.64688	1.851E-10	6.65608	5.411E-10
6.75156	1.485E-10	6.74583	4.687E-10	6.76067	2.028E-10	6.75562	1.32E-10	6.74951	5.493E-10	6.74971	5.991E-10	6.75112	1.785E-10	6.75578	5.425E-10
6.85168	1.485E-10	6.84748	4.723E-10	6.86077	1.993E-10	6.85578	1.327E-10	6.84965	5.483E-10	6.84984	5.995E-10	6.84968	1.742E-10	6.85588	5.446E-10
6.95305	1.466E-10	6.94622	4.739E-10	6.9626	1.961E-10	6.9559	1.326E-10	6.94978	5.518E-10	6.95284	6.027E-10	6.94981	1.768E-10	6.95795	5.434E-10
7.05233	1.459E-10	7.04635	4.736E-10	7.06229	1.945E-10	7.05602	1.302E-10	7.04989	5.567E-10	7.05122	6.028E-10	7.04993	1.731E-10	7.05691	5.466E-10
7.16083	1.464E-10	7.14679	4.726E-10	7.16403	1.946E-10	7.1588	1.339E-10	7.15002	5.542E-10	7.15193	6.038E-10	7.15013	1.806E-10	7.15847	5.488E-10
7.25803	1.441E-10	7.24662	4.753E-10	7.26279	1.912E-10	7.25728	1.314E-10	7.25014	5.55E-10	7.25163	6.042E-10	7.25117	1.714E-10	7.25737	5.492E-10
7.35816	1.447E-10	7.34716	4.755E-10	7.36492	1.881E-10	7.35785	1.297E-10	7.35027	5.583E-10	7.35305	6.058E-10	7.35086	1.708E-10	7.35754	5.487E-10
7.45986	1.45E-10	7.44728	4.753E-10	7.46416	1.89E-10	7.45756	1.32E-10	7.45044	5.573E-10	7.45189	6.064E-10	7.4514	1.713E-10	7.45933	5.487E-10
