checkpoint,train_seed,config,sigma_c2c,sigma_d2d,eval_d2d_seed,ppl,ctx_len,stride,batch_size,json_path
k107_a1_last1_seed456,456,EPSC-e5,0.01,0.1,1001,19.784720249914013,512,512,1,eval_k107_a1_last1_seed456_c2c0.01_d2d0.1_rst0.0_seed1001.json
k107_a1_last1_seed456,456,EPSC-e5,0.01,0.1,42,19.80819516149454,512,512,1,eval_k107_a1_last1_seed456_c2c0.01_d2d0.1_rst0.0_seed42.json
k107_a1_last1_seed456,456,EPSC-e5,0.01,0.1,456,19.810009737559334,512,512,1,eval_k107_a1_last1_seed456_c2c0.01_d2d0.1_rst0.0_seed456.json
k107_a1_last1_seed456,456,EPSC-e1,0.05,0.05,1001,19.662233832059997,512,512,1,eval_k107_a1_last1_seed456_c2c0.05_d2d0.05_rst0.0_seed1001.json
k107_a1_last1_seed456,456,EPSC-e1,0.05,0.05,42,19.658021858062863,512,512,1,eval_k107_a1_last1_seed456_c2c0.05_d2d0.05_rst0.0_seed42.json
k107_a1_last1_seed456,456,EPSC-e1,0.05,0.05,456,19.67709406239629,512,512,1,eval_k107_a1_last1_seed456_c2c0.05_d2d0.05_rst0.0_seed456.json
k107_a1_last1_seed456,456,EPSC-e4,0.0,0.2,1001,20.461162501645433,512,512,1,eval_k107_a1_last1_seed456_c2c0.0_d2d0.2_rst0.0_seed1001.json
k107_a1_last1_seed456,456,EPSC-e4,0.0,0.2,42,20.589449688386,512,512,1,eval_k107_a1_last1_seed456_c2c0.0_d2d0.2_rst0.0_seed42.json
k107_a1_last1_seed456,456,EPSC-e4,0.0,0.2,456,20.524151757020185,512,512,1,eval_k107_a1_last1_seed456_c2c0.0_d2d0.2_rst0.0_seed456.json
k107_a1_last1_seed456,456,EPSC-e3,0.15,0.15,1001,20.675012258776086,512,512,1,eval_k107_a1_last1_seed456_c2c0.15_d2d0.15_rst0.0_seed1001.json
k107_a1_last1_seed456,456,EPSC-e3,0.15,0.15,42,20.711241523620608,512,512,1,eval_k107_a1_last1_seed456_c2c0.15_d2d0.15_rst0.0_seed42.json
k107_a1_last1_seed456,456,EPSC-e3,0.15,0.15,456,20.66897287588187,512,512,1,eval_k107_a1_last1_seed456_c2c0.15_d2d0.15_rst0.0_seed456.json
k107_a1_last1_seed456,456,EPSC-e2,0.1,0.1,1001,20.02634468012444,512,512,1,eval_k107_a1_last1_seed456_c2c0.1_d2d0.1_rst0.0_seed1001.json
k107_a1_last1_seed456,456,EPSC-e2,0.1,0.1,42,20.050340347043367,512,512,1,eval_k107_a1_last1_seed456_c2c0.1_d2d0.1_rst0.0_seed42.json
k107_a1_last1_seed456,456,EPSC-e2,0.1,0.1,456,20.078606756294857,512,512,1,eval_k107_a1_last1_seed456_c2c0.1_d2d0.1_rst0.0_seed456.json
