3.08682	6.823E-10	4.04658	6.873E-10	3.08132	5.397E-10	0.04122	6.291E-10	0.04403	8.534E-10
3.11197	7.073E-10	4.07041	6.863E-10	3.10792	6.968E-10	0.06872	6.271E-10	0.11282	7.277E-10
3.17777	5.481E-10	4.13626	6.727E-10	3.13468	6.987E-10	0.09203	6.268E-10	0.18183	9.558E-10
3.20363	7.095E-10	4.15963	6.88E-10	3.158	6.979E-10	0.1207	6.293E-10	0.208	8.529E-10
3.2698	8.036E-10	4.22576	7.989E-10	3.18637	6.975E-10	0.18479	7.363E-10	0.27091	7.874E-10
3.33704	6.172E-10	4.25219	6.86E-10	3.21353	6.967E-10	0.2081	6.296E-10	0.29425	8.531E-10
3.36149	7.114E-10	4.31513	6.611E-10	3.2374	6.971E-10	0.27422	4.693E-10	0.36654	7.679E-10
3.42467	7.965E-10	4.34212	6.864E-10	3.26421	6.967E-10	0.347	7.483E-10	0.43472	8.311E-10
3.48703	8.194E-10	4.40397	7.739E-10	3.28771	6.961E-10	0.41436	6.44E-10	0.50161	8.988E-10
3.51034	7.084E-10	4.42767	6.838E-10	3.31404	6.972E-10	0.44084	6.312E-10	0.52491	8.567E-10
3.57542	7.344E-10	4.49405	6.858E-10	3.37682	6.238E-10	0.50471	7.167E-10	0.61551	8.576E-10
3.60156	7.097E-10	4.52083	6.849E-10	3.40822	6.962E-10	0.52799	6.32E-10	0.64374	8.59E-10
3.6603	7.101E-10	4.62398	6.845E-10	3.43373	6.953E-10	0.55176	6.32E-10	0.66708	8.585E-10
3.68361	7.101E-10	4.65021	6.845E-10	3.49943	5.601E-10	0.61744	6.327E-10	0.69574	8.562E-10
3.75175	7.104E-10	4.71461	5.951E-10	3.52436	6.944E-10	0.64252	6.334E-10	0.76225	9.459E-10
3.77507	7.089E-10	4.78716	7.088E-10	3.59282	6.975E-10	0.66815	6.305E-10	0.78565	8.583E-10
3.80126	7.106E-10	4.81227	6.848E-10	3.69817	6.852E-10	0.69346	6.338E-10	0.85038	6.945E-10
3.86445	7.859E-10	4.84236	6.847E-10	3.72454	6.926E-10	0.71801	6.343E-10	0.8759	8.591E-10
3.92637	6.384E-10	4.86569	6.826E-10	3.74786	6.952E-10	0.78778	6.365E-10	0.90536	8.614E-10
