file,device,measurement,type,C1_n,C1_peak_nA,C1_mean_nA,C1_baseline_nA,C1_amp_nA,C1_t_peak_s,C1_half_width_s,C2_n,C2_mean_nA,C2_std_nA,C3_n,C3_valid,C3_mean_nA,C3_std_nA,C1_baseline_nA_codex,C1_peak_nA_codex,C1_amp_nA_codex,C1_t_peak_s_codex,C1_rise_10_90_s,C1_tau_1e_decay_s,C1_decay_1e_resolved,C1_half_width_s_codex,C1_charge_nC
1-4-EPSC-365 nm-200 300 ms-64ci-18.csv,9,18,repeat,2000,-23.9052,-14.98160395,-0.069038,-23.836162,36.124615,36.403607,2000,-15.4171017,1.333160378020541,469,False,-13.084996801705758,0.1871968266062714,-0.06903800000000002,-23.905199999999997,23.836161999999998,36.124615,24.52662841485008,,False,,739.007892410636
1-4-EPSC-365 nm-200 300 ms-64ci-19.csv,9,19,repeat,2000,-25.9427,-17.358581,-0.097635,-25.845065,35.82007,38.715116,2000,-17.21427985,1.4494651912375414,574,True,-14.580417595818815,0.2492065607067176,-0.09763500000000003,-25.9427,25.845064999999998,35.82007,24.025498961028962,,False,,856.0720647057901
1-4-EPSC-365 nm-200 300 ms-64ci-20.csv,9,20,repeat,2000,-27.1078,-18.37168845,-0.1224249999999999,-26.985375,35.463908,38.654272,2000,-18.1237094,1.5129658162503907,677,True,-15.399412555391432,0.290357155612707,-0.12242499999999999,-27.1078,26.985375,35.463908,23.53374239641046,,False,,905.0176826528375
1-4-EPSC-365 nm-200 300 ms-64ci-21.csv,9,21,repeat,2000,-27.5738,-18.9750583,-0.143248,-27.430552,34.409719,39.207599,2000,-18.2826097,1.4788252782758833,486,False,-15.730759670781897,0.2053047077638368,-0.14324800000000001,-27.573800000000002,27.430552000000002,34.409719,23.556789932893402,,False,,934.1506809919921
1-4-EPSC-365 nm-200 300 ms-64ci-22.csv,9,22,repeat,2000,-28.6338,-19.169900100000003,-0.1035279999999999,-28.530272,35.517107,38.160666,2000,-19.7614441,1.5821478046481834,612,True,-16.942794117647058,0.2684078501234538,-0.10352799999999998,-28.6338,28.530272,35.517107,24.53170312386994,,False,,949.6302953602919
1-4-EPSC-365 nm-200 300 ms-64ci-23.csv,9,23,repeat,2000,-29.0228,-19.250580650000003,-0.098397,-28.924403,36.197419,37.287363,2000,-20.1491051,1.6105079436569945,549,True,-17.311648087431696,0.2516519641837507,-0.09839700000000001,-29.0228,28.924403,36.197419,24.043538598249388,,False,,947.7777084907838
1-4-EPSC-365 nm-200 300 ms-64ci-24.csv,9,24,repeat,2000,-27.5397,-17.160800300000002,-0.083785,-27.455915,35.445163,34.801452,2000,-19.18177915,1.5528384475702564,443,False,-16.422563205417607,0.2572432158573559,-0.08378500000000003,-27.5397,27.455915,35.445163,22.49083279328924,,False,,839.2902907103348
3-1-EPSC-365 nm-200 300 ms-64ci-1.csv,1,1,wafer,2000,-20.1334,-12.861941599999998,-0.1216029999999999,-20.011797,36.719389,35.111569,2000,-14.2518521,1.092589128724835,600,True,-12.207866666666666,0.2086190653150147,-0.12160299999999999,-20.1334,20.011797,36.719389,23.504258951674682,,False,,626.819669623592
3-1-EPSC-365 nm-200 300 ms-64ci-2.csv,1,2,wafer,2000,-22.6484,-14.0019427,-0.062316,-22.586084,35.94976,34.504041,2000,-16.403906149999997,1.095344237299978,553,True,-14.392337613019892,0.1921403684585658,-0.06231600000000001,-22.6484,22.586084,35.94976,23.497141290633913,,False,,689.3375615780841
3-1-EPSC-365 nm-200 300 ms-64ci-3.csv,1,3,wafer,2000,-26.525,-17.503071600000002,-0.079683,-26.445317000000003,35.489404,36.99646,2000,-19.76419105,1.2079921241717295,452,False,-17.64096681415929,0.1700614622310692,-0.079683,-26.525000000000002,26.445317000000003,35.489404,22.78979130736185,,False,,865.5702519963381
