condition,source_best_mean,source_best_std,fresh_mean,fresh_std,drift_1h_mean,drift_1d_mean,drift_drop_1d_pp,n_fresh,n_drift,n_source_best,note
8-bit PCM,77.64,0.6835202996254021,77.59526666666666,0.6391857737257122,77.49,77.57333333333334,0.03999999999999204,3,3,3,original audited canonical
6-bit PCM,68.4,5.995459393018462,68.44335,6.027127694847688,68.4625,68.3625,0.04250000000000398,4,4,4,new protocol; seed123 rerun complete 2026-05-09
4-bit PCM,76.70666666666666,0.46090490703976433,76.6836,0.37365502806733225,74.04,72.63666666666667,4.006666666666661,3,3,3,original audited canonical
