layer_id	module_path	layer_type	role	stage	shape	effective_m	effective_n	row_tiles_128	col_tiles_128	diff_pair_arrays_128	parameter_count	current_mapping	candidate_precision	n_states	sigma_d2d	sigma_c2c	notes
22	stages.2.blocks.3.attn.qkv	AnalogLinear	attention_qkv	stage_2	480x160	480	160	4	2	16	77280	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
23	stages.2.blocks.3.attn.proj	AnalogLinear	attention_proj	stage_2	160x160	160	160	2	2	8	25760	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
24	stages.2.blocks.3.mlp.fc1	AnalogLinear	mlp_fc1	stage_2	640x160	640	160	5	2	20	103040	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
25	stages.2.blocks.3.mlp.fc2	AnalogLinear	mlp_fc2	stage_2	160x640	160	640	2	5	20	102560	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
26	stages.2.blocks.4.attn.qkv	AnalogLinear	attention_qkv	stage_2	480x160	480	160	4	2	16	77280	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
27	stages.2.blocks.4.attn.proj	AnalogLinear	attention_proj	stage_2	160x160	160	160	2	2	8	25760	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
28	stages.2.blocks.4.mlp.fc1	AnalogLinear	mlp_fc1	stage_2	640x160	640	160	5	2	20	103040	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
29	stages.2.blocks.4.mlp.fc2	AnalogLinear	mlp_fc2	stage_2	160x640	160	640	2	5	20	102560	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
30	stages.2.blocks.5.attn.qkv	AnalogLinear	attention_qkv	stage_2	480x160	480	160	4	2	16	77280	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
31	stages.2.blocks.5.attn.proj	AnalogLinear	attention_proj	stage_2	160x160	160	160	2	2	8	25760	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
