strategy	kind	protected_k	seed	loss	accuracy	subset_size	dataset	sigma_d2d	sigma_c2c	unprotected_n_states	protected_n_states	protected_layers	checkpoint_path	evidence_grade
freeze_top10_d2d	freeze	10	20260512	3.5127357244491577	29.248046875	2048	cifar10	0.1	0.05	16		stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
freeze_top13_d2d	freeze	13	20260510	2.554589882493019	46.435546875	2048	cifar10	0.1	0.05	16		stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
freeze_top13_d2d	freeze	13	20260511	3.2350300401449203	35.3515625	2048	cifar10	0.1	0.05	16		stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
freeze_top13_d2d	freeze	13	20260512	3.183907598257065	36.23046875	2048	cifar10	0.1	0.05	16		stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
noiseless_top10_hp_upper	noiseless_hp	10	20260510	5.540708839893341	8.88671875	2048	cifar10	0.1	0.05	16	256	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
noiseless_top10_hp_upper	noiseless_hp	10	20260511	5.9884443283081055	8.88671875	2048	cifar10	0.1	0.05	16	256	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
noiseless_top10_hp_upper	noiseless_hp	10	20260512	5.147868633270264	8.88671875	2048	cifar10	0.1	0.05	16	256	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
noiseless_top13_hp_upper	noiseless_hp	13	20260510	5.415453672409058	8.88671875	2048	cifar10	0.1	0.05	16	256	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
noiseless_top13_hp_upper	noiseless_hp	13	20260511	5.928748071193695	8.88671875	2048	cifar10	0.1	0.05	16	256	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
noiseless_top13_hp_upper	noiseless_hp	13	20260512	5.097451448440552	8.88671875	2048	cifar10	0.1	0.05	16	256	stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2;stages.2.blocks.5.mlp.fc2;stages.2.blocks.4.mlp.fc1;stages.2.blocks.2.mlp.fc2;stages.3.blocks.0.mlp.fc1;stages.1.blocks.1.mlp.fc1;stages.1.blocks.0.mlp.fc1;stages.2.blocks.2.mlp.fc1;stages.2.blocks.0.mlp.fc2;stages.2.blocks.1.mlp.fc2;stages.2.blocks.0.mlp.fc1;stages.2.blocks.3.mlp.fc1	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
