dataset	model_type	experiment	experiment_name	checkpoint	module_path	layer_index	layer_type	retention_time_s	tau_1	tau_2	A_0	retention_state_dependent	retention_decay_factor_scalar	weight_abs_mean	base_effective_abs_mean	drift_pos_mean	drift_pos_l2	drift_neg_mean	drift_neg_l2	drift_effective_mean	drift_effective_std	drift_effective_l2	drift_effective_linf	drift_abs_to_weight_abs_corr	drift_abs_to_base_effective_abs_corr	script	evidence_grade
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv1.conv	1	AnalogConv2d	0.0	0.14	0.61	0.6	False	1.0	0.09122087061405182	2.8215277194976807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv1.conv	1	AnalogConv2d	1000.0	0.14	0.61	0.6	False	0.6000000238418579	0.09122087061405182	2.8215277194976807	-0.9608333110809326	36.48868179321289	-0.9677778482437134	36.870540618896484	0.006944448687136173	1.3753126859664917	40.42628860473633	3.5999999046325684	0.995837141131725	0.999999999999997	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv1.conv	1	AnalogConv2d	10000.0	0.14	0.61	0.6	False	0.6000000238418579	0.09122087061405182	2.8215277194976807	-0.9608333110809326	36.48868179321289	-0.9677778482437134	36.870540618896484	0.006944448687136173	1.3753126859664917	40.42628860473633	3.5999999046325684	0.995837141131725	0.999999999999997	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv1.conv	1	AnalogConv2d	86400.0	0.14	0.61	0.6	False	0.6000000238418579	0.09122087061405182	2.8215277194976807	-0.9608333110809326	36.48868179321289	-0.9677778482437134	36.870540618896484	0.006944448687136173	1.3753126859664917	40.42628860473633	3.5999999046325684	0.995837141131725	0.999999999999997	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv2.conv	2	AnalogConv2d	0.0	0.14	0.61	0.6	False	1.0	0.04160580411553383	1.2697917222976685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv2.conv	2	AnalogConv2d	1000.0	0.14	0.61	0.6	False	0.6000000238418579	0.04160580411553383	1.2697917222976685	-0.6436849236488342	102.05117797851562	-0.6642317771911621	103.2564468383789	0.020546874031424522	0.6455300450325012	87.6844482421875	3.5999999046325684	0.9846806845256467	0.9999999999999976	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv2.conv	2	AnalogConv2d	10000.0	0.14	0.61	0.6	False	0.6000000238418579	0.04160580411553383	1.2697917222976685	-0.6436849236488342	102.05117797851562	-0.6642317771911621	103.2564468383789	0.020546874031424522	0.6455300450325012	87.6844482421875	3.5999999046325684	0.9846806845256467	0.9999999999999976	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv2.conv	2	AnalogConv2d	86400.0	0.14	0.61	0.6	False	0.6000000238418579	0.04160580411553383	1.2697917222976685	-0.6436849236488342	102.05117797851562	-0.6642317771911621	103.2564468383789	0.020546874031424522	0.6455300450325012	87.6844482421875	3.5999999046325684	0.9846806845256467	0.9999999999999976	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.attn.qkv	3	AnalogLinear	0.0	0.14	0.61	0.6	False	1.0	0.03758940473198891	1.4034546613693237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.attn.qkv	3	AnalogLinear	1000.0	0.14	0.61	0.6	False	0.6000000238418579	0.03758940473198891	1.4034546613693237	-0.6802732944488525	178.80282592773438	-0.6811083555221558	179.3253936767578	0.0008349617710337043	0.7318350076675415	162.249755859375	3.5999999046325684	0.9890227503547576	0.9999999999999971	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.attn.qkv	3	AnalogLinear	10000.0	0.14	0.61	0.6	False	0.6000000238418579	0.03758940473198891	1.4034546613693237	-0.6802732944488525	178.80282592773438	-0.6811083555221558	179.3253936767578	0.0008349617710337043	0.7318350076675415	162.249755859375	3.5999999046325684	0.9890227503547576	0.9999999999999971	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.attn.qkv	3	AnalogLinear	86400.0	0.14	0.61	0.6	False	0.6000000238418579	0.03758940473198891	1.4034546613693237	-0.6802732944488525	178.80282592773438	-0.6811083555221558	179.3253936767578	0.0008349617710337043	0.7318350076675415	162.249755859375	3.5999999046325684	0.9890227503547576	0.9999999999999971	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
