dataset	experiment	checkpoint	strategy	protected_k	retention_time_s	retention_recalibrate_scale	retention_scales_d2d	instance_index	instance_seed	mc_index	mc_seed	accuracy	loss	elapsed_seconds	sigma_c2c	sigma_d2d	noise_mode	script	evidence_grade
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	2	20360514	1	20360515	58.35	2.536632	6.041	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	2	20360514	2	20360516	58.51	2.555102	6.055	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	2	20360514	1	20361515	56.56	2.685509	6.134	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	2	20360514	2	20361516	55.29	2.717616	6.134	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	2	20360514	1	20370515	55.69	2.692834	6.148	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	2	20360514	2	20370516	55.17	2.717985	6.151	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	2	20360514	1	20360515	62.95	2.264892	6.067	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	2	20360514	2	20360516	62.89	2.267224	6.067	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	2	20360514	1	20361515	60.35	2.379863	6.147	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	2	20360514	2	20361516	60.46	2.402299	6.141	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	2	20360514	1	20370515	60.05	2.401971	6.144	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	2	20360514	2	20370516	60.32	2.422643	6.236	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	0.0	True	True	2	20360514	1	20360515	65.01	2.099906	6.203	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
