rank	layer_id	module_path	role	stage	layer_type	drift_effective_l2	drift_effective_linf	drift_abs_to_weight_abs_corr	retention_time_s	reference_mean_acc_drop	reference_std_acc_drop	source	evidence_grade
1	37	stages.3.blocks.0.mlp.fc2	mlp_fc2	stage_3	AnalogLinear	474.621826	3.600000	0.988069	1000.0	83.59375	1.2807497117777344	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
2	41	stages.3.blocks.1.mlp.fc2	mlp_fc2	stage_3	AnalogLinear	430.901947	3.600000	0.985568	1000.0	0.06510416666666667	0.11276372445109878	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
3	34	stages.3.blocks.0.attn.qkv	attention_qkv	stage_3	AnalogLinear	418.804169	3.600000	0.988975	1000.0	0.06510416666666667	0.9230108645024626	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
4	40	stages.3.blocks.1.mlp.fc1	mlp_fc1	stage_3	AnalogLinear	418.147919	3.600000	0.984619	1000.0	0.0	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
5	36	stages.3.blocks.0.mlp.fc1	mlp_fc1	stage_3	AnalogLinear	414.215668	3.600000	0.984461	1000.0	2.34375	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
6	38	stages.3.blocks.1.attn.qkv	attention_qkv	stage_3	AnalogLinear	388.415436	3.600000	0.986896	1000.0	-0.06510416666666667	0.4915256793796061	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
7	32	stages.2.blocks.5.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	260.718201	3.600000	0.990256	1000.0	0.0	0.1953125	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
8	25	stages.2.blocks.3.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	255.398682	3.600000	0.989882	1000.0	0.1953125	0.7042092334890604	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
9	17	stages.2.blocks.1.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	250.496307	3.600000	0.989776	1000.0	1.0416666666666667	0.11276372445109878	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
10	29	stages.2.blocks.4.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	250.196411	3.600000	0.989402	1000.0	0.5859375	1.014873520059889	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
11	28	stages.2.blocks.4.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	247.114120	3.600000	0.989078	1000.0	7.942708333333333	1.3294647042097745	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
12	35	stages.3.blocks.0.attn.proj	attention_proj	stage_3	AnalogLinear	241.400986	3.600000	0.988559	1000.0	0.390625	0.390625	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
13	21	stages.2.blocks.2.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	240.265900	3.600000	0.988699	1000.0	3.125	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
14	20	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	239.450974	3.600000	0.988463	1000.0	1.1067708333333333	0.8807128423482216	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
15	12	stages.2.blocks.0.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	234.019943	3.600000	0.988045	1000.0	1.0416666666666667	0.11276372445109878	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
16	33	stages.2.blocks.5.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	230.638885	3.600000	0.987549	1000.0	9.114583333333334	5.041686170976392	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
17	24	stages.2.blocks.3.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	225.941238	3.600000	0.987128	1000.0	0.8463541666666666	0.29834477180702085	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
18	13	stages.2.blocks.0.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	215.834351	3.600000	0.986052	1000.0	1.0416666666666667	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
19	14	stages.2.blocks.1.attn.qkv	attention_qkv	stage_2	AnalogLinear	213.515320	3.600000	0.989646	1000.0	0.6510416666666666	0.29834477180702085	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
20	5	stages.1.blocks.0.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	212.096863	3.600000	0.990562	1000.0	0.06510416666666667	0.29834477180702085	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
