dataset	experiment	checkpoint	strategy	protected_k	retention_time_s	retention_recalibrate_scale	retention_scales_d2d	instance_index	instance_seed	mc_index	mc_seed	accuracy	loss	elapsed_seconds	sigma_c2c	sigma_d2d	noise_mode	script	evidence_grade
cifar100	V4	checkpoints/_ensemble/cifar100_seed456/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	1	20260520	1	20260521	63.81	2.164917	6.462	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n10-mc3
cifar100	V4	checkpoints/_ensemble/cifar100_seed456/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	1	20260520	2	20260522	64.15	2.141465	5.848	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n10-mc3
cifar100	V4	checkpoints/_ensemble/cifar100_seed456/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	1	20260520	3	20260523	63.82	2.157572	5.84	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n10-mc3
cifar100	V4	checkpoints/_ensemble/cifar100_seed456/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	1	20260520	1	20261521	62.33	2.234726	6.002	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n10-mc3
cifar100	V4	checkpoints/_ensemble/cifar100_seed456/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	1	20260520	2	20261522	62.29	2.246865	6.024	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n10-mc3
cifar100	V4	checkpoints/_ensemble/cifar100_seed456/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	1	20260520	3	20261523	62.05	2.256257	6.024	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n10-mc3
cifar100	V4	checkpoints/_ensemble/cifar100_seed456/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	1	20260520	1	20270521	62.4	2.231271	6.026	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n10-mc3
cifar100	V4	checkpoints/_ensemble/cifar100_seed456/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	1	20260520	2	20270522	62.13	2.2535	6.018	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n10-mc3
cifar100	V4	checkpoints/_ensemble/cifar100_seed456/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	1	20260520	3	20270523	62.04	2.239502	6.033	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n10-mc3
cifar100	V4	checkpoints/_ensemble/cifar100_seed456/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	1	20260520	1	20260521	65.17	2.055161	5.965	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n10-mc3
cifar100	V4	checkpoints/_ensemble/cifar100_seed456/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	1	20260520	2	20260522	65.63	2.027904	5.951	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n10-mc3
