0	9.599E-10
1	1.4276E-9
2	1.8889E-9
3	2.1748E-9
4	2.6538E-9
5	2.9836E-9
6	3.351E-9
7	3.7232E-9
8	4.0698E-9
9	4.3798E-9
10	4.8033E-9
11	5.2297E-9
12	5.4681E-9
13	5.8862E-9
14	6.3904E-9
15	6.6812E-9
16	7.0839E-9
17	7.4541E-9
18	7.8608E-9
19	8.2099E-9
20	8.4768E-9
21	8.9938E-9
22	9.3133E-9
23	9.7047E-9
24	1.00918E-8
25	1.04828E-8
26	1.07875E-8
27	1.11787E-8
28	1.15971E-8
29	1.19006E-8
30	1.21577E-8
31	1.26271E-8
32	1.29845E-8
33	1.33441E-8
34	1.37075E-8
35	1.40801E-8
36	1.44337E-8
37	1.46583E-8
38	1.51573E-8
39	1.55238E-8
40	1.58808E-8
41	1.62408E-8
42	1.66046E-8
43	1.6958E-8
44	1.73096E-8
45	1.76825E-8
46	1.80797E-8
47	1.82723E-8
48	1.88373E-8
49	1.91843E-8
50	1.93514E-8
51	1.98392E-8
52	2.02322E-8
53	2.04115E-8
54	2.09048E-8
55	2.12568E-8
56	2.16015E-8
57	2.19918E-8
58	2.2316E-8
59	2.25775E-8
60	2.3128E-8
61	2.3336E-8
62	2.36012E-8
63	2.41386E-8
64	2.44399E-8
65	2.47047E-8
66	2.50232E-8
67	2.53944E-8
68	2.5853E-8
69	2.62852E-8
70	2.65671E-8
71	2.68281E-8
72	2.7287E-8
73	2.75904E-8
74	2.79551E-8
75	2.83201E-8
76	2.86792E-8
77	2.89874E-8
78	2.93682E-8
79	2.97897E-8
80	3.00586E-8
81	3.03341E-8
82	3.06966E-8
83	3.1174E-8
84	3.1474E-8
85	3.18232E-8
86	3.22224E-8
87	3.25561E-8
88	3.28083E-8
89	3.32552E-8
90	3.36567E-8
91	3.39401E-8
92	3.42897E-8
93	3.46388E-8
94	3.50256E-8
95	3.53181E-8
96	3.56534E-8
97	3.60126E-8
98	3.62069E-8
99	3.65399E-8
100	3.70426E-8
