CH1 Voltage 1,CH1 Voltage 2,CH1 Voltage 3,CH1 Current 1,CH1 Current 2,CH1 Current 3,CH1 Resistance 1,CH1 Resistance 2,CH1 Resistance 3,CH1 Power 1,CH1 Power 2,CH1 Power 3,CH1 Time 1,CH1 Time 2,CH1 Time 3,CH1 State 1,CH1 State 2,CH1 State 3,CH1 Source 1,CH1 Source 2,CH1 Source 3,CH2 Voltage 1,CH2 Voltage 2,CH2 Voltage 3,CH2 Current 1,CH2 Current 2,CH2 Current 3,CH2 Resistance 1,CH2 Resistance 2,CH2 Resistance 3,CH2 Power 1,CH2 Power 2,CH2 Power 3,CH2 Time 1,CH2 Time 2,CH2 Time 3,CH2 State 1,CH2 State 2,CH2 State 3,CH2 Source 1,CH2 Source 2,CH2 Source 3
-0.3,-0.3,-0.3,-6.38e-11,-2.0920500000000002e-08,-1.59111e-08,4702194357.366771,14340001.434000142,18854761.770085033,1.914e-11,6.27615e-09,4.77333e-09,0.056233,50.042823,99.613444,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,6.070000000000001e-11,-3.82e-11,-2.92e-11,-4942339373.9703455,7853403141.361256,10273972602.739725,-1.821e-11,1.146e-11,8.759999999999999e-12,0.056233,50.042823,99.613444,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-6.470000000000001e-11,-2.0917200000000002e-08,-1.59053e-08,4636785162.28748,14342263.782915493,18861637.315863267,1.941e-11,6.2751600000000005e-09,4.77159e-09,0.082162,50.067634,99.670317,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,5.69e-11,-2.99e-11,-3.6100000000000003e-11,-5272407732.864675,10033444816.05351,8310249307.479223,-1.707e-11,8.97e-12,1.0830000000000001e-11,0.082162,50.067634,99.670317,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-6.420000000000001e-11,-2.0914200000000002e-08,-1.59033e-08,4672897196.261682,14344321.083283126,18864009.35654864,1.9260000000000003e-11,6.274260000000001e-09,4.7709899999999995e-09,0.10428899999999999,50.089808,99.69368999999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,5.8e-11,-3.15e-11,-3.16e-11,-5172413793.103448,9523809523.809523,9493670886.075949,-1.74e-11,9.45e-12,9.479999999999999e-12,0.10428899999999999,50.089808,99.69368999999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-6.4e-11,-2.09094e-08,-1.59029e-08,4687500000.0,14347613.991793163,18864483.83628143,1.92e-11,6.27282e-09,4.77087e-09,0.12717399999999998,50.111928999999996,99.71588799999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,6.16e-11,-3.51e-11,-2.94e-11,-4870129870.12987,8547008547.008547,10204081632.653059,-1.848e-11,1.053e-11,8.82e-12,0.12717399999999998,50.111928999999996,99.71588799999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-6.57e-11,-2.0907900000000002e-08,-1.59008e-08,4566210045.6621,14348643.3357726,18866975.246528476,1.971e-11,6.27237e-09,4.77024e-09,0.150586,50.135870999999995,99.739223,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000099999999996,-0.3,-0.3,6.740000000000001e-11,-4.2400000000000004e-11,-3.24e-11,-4451053412.462907,7075471698.113207,9259259259.259258,-2.02200674e-11,1.272e-11,9.72e-12,0.150586,50.135870999999995,99.739223,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-6.54e-11,-2.09035e-08,-1.59008e-08,4587155963.302752,14351663.597005285,18866975.246528476,1.962e-11,6.27105e-09,4.77024e-09,0.17274399999999998,50.158775999999996,99.76495899999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,6.54e-11,-2.99e-11,-3.85e-11,-4587155963.302752,10033444816.05351,7792207792.207791,-1.962e-11,8.97e-12,1.155e-11,0.17274399999999998,50.158775999999996,99.76495899999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-6.37e-11,-2.0899e-08,-1.5899e-08,4709576138.147567,14354753.815972054,18869111.264859427,1.911e-11,6.2697e-09,4.769699999999999e-09,0.194939,50.180943,99.787239,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.30000099999999996,-0.3,6.13e-11,-3.86e-11,-3.71e-11,-4893964110.929853,7772046632.1243515,8086253369.272237,-1.8389999999999997e-11,1.1580038599999998e-11,1.113e-11,0.194939,50.180943,99.787239,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-6.43e-11,-2.08964e-08,-1.58967e-08,4665629860.031104,14356539.882467793,18871841.325558133,1.929e-11,6.26892e-09,4.76901e-09,0.21825799999999998,50.204443,99.80936299999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,5.64e-11,-3.22e-11,-3.66e-11,-5319148936.170213,9316770186.335403,8196721311.4754095,-1.6919999999999998e-11,9.66e-12,1.098e-11,0.21825799999999998,50.204443,99.80936299999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-6.51e-11,-2.08927e-08,-1.58957e-08,4608294930.875576,14359082.358910048,18873028.554892205,1.953e-11,6.26781e-09,4.76871e-09,0.241662,50.228728999999994,99.833508,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,4.31e-11,-2.8e-11,-2.88e-11,-6960556844.547564,10714285714.285713,10416666666.666666,-1.293e-11,8.4e-12,8.64e-12,0.241662,50.228728999999994,99.833508,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-6.41e-11,-2.08889e-08,-1.58934e-08,4680187207.488299,14361694.488460377,18875759.74932991,1.923e-11,6.26667e-09,4.76802e-09,0.263822,50.250893,99.856876,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,6.01e-11,-3.14e-11,-3.68e-11,-4991680532.445923,9554140127.388535,8152173913.043478,-1.803e-11,9.42e-12,1.104e-11,0.263822,50.250893,99.856876,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
