device,n,peak_amp_mean_nA,peak_amp_std_nA,charge_mean_nC,charge_std_nC,tau_1e_mean_s,tau_1e_std_s,decay_1e_resolved_count,rise_10_90_mean_s,c2_mean_nA,c3_valid_count,peak_amp_cv_pct
1,5,25.705112200000002,4.386027237673029,831.9896733046259,168.91340201766695,,,0,23.225423092469935,-19.0352462,4,17.06285972824125
2,5,29.279198400000002,2.3654310858984706,969.260601199929,151.27873319208652,,,0,23.75745054169639,-21.43204029,5,8.078879256129055
3,5,25.6929578,1.181104814818397,851.1666703012604,73.53527633993161,,,0,23.93157777558096,-19.36656264,4,4.596998228123026
5,5,30.507215600000002,3.1369171023881557,989.6312085470443,101.69905478063237,,,0,24.43626088561799,-22.132807640000003,3,10.282541492866217
6,5,34.815652,3.126992840498436,1142.1102223132755,134.52893863191923,,,0,24.220030267851577,-25.0136031,4,8.981571967971291
7,5,26.6886984,1.3704117252110037,896.2645184319181,89.33069345723685,,,0,22.384604138206203,-17.86685722,4,5.134801647767895
8,5,21.5077694,1.9810692813362942,770.2924687166702,106.79251621683986,,,0,21.440003660752144,-14.925742129999998,3,9.21094719072213
9,5,26.827323,0.3421747703338167,964.6912190346357,28.479445162528606,,,0,20.132769856920326,-19.49818447,2,1.275471169202446
