CH1 Voltage 1,CH1 Voltage 2,CH1 Voltage 3,CH1 Current 1,CH1 Current 2,CH1 Current 3,CH1 Resistance 1,CH1 Resistance 2,CH1 Resistance 3,CH1 Power 1,CH1 Power 2,CH1 Power 3,CH1 Time 1,CH1 Time 2,CH1 Time 3,CH1 State 1,CH1 State 2,CH1 State 3,CH1 Source 1,CH1 Source 2,CH1 Source 3,CH2 Voltage 1,CH2 Voltage 2,CH2 Voltage 3,CH2 Current 1,CH2 Current 2,CH2 Current 3,CH2 Resistance 1,CH2 Resistance 2,CH2 Resistance 3,CH2 Power 1,CH2 Power 2,CH2 Power 3,CH2 Time 1,CH2 Time 2,CH2 Time 3,CH2 State 1,CH2 State 2,CH2 State 3,CH2 Source 1,CH2 Source 2,CH2 Source 3
-0.3,-0.3,-0.3,-3.82e-11,-1.79447e-08,-1.47133e-08,7853403141.361256,16718028.16430478,20389715.427538346,1.146e-11,5.38341e-09,4.41399e-09,0.056441,49.620186,98.91779,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,5.6e-12,1.17e-11,1.0500000000000001e-11,-53571428571.428566,-25641025641.02564,-28571428571.42857,-1.6800000000000001e-12,-3.51e-12,-3.15e-12,0.056441,49.620186,98.91779,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-3.75e-11,-1.79412e-08,-1.4712300000000001e-08,8000000000.0,16721289.545849776,20391101.323382474,1.125e-11,5.38236e-09,4.41369e-09,0.080494,49.645305,98.941778,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,-1.8e-12,7.5e-12,2.1e-12,166666666666.66666,-40000000000.0,-142857142857.14285,5.4e-13,-2.25e-12,-6.299999999999999e-13,0.080494,49.645305,98.941778,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.30000099999999996,-0.3,-0.3,-3.93e-11,-1.79384e-08,-1.4710500000000001e-08,7633613231.552161,16723899.567408463,20393596.410727028,1.1790039299999999e-11,5.38152e-09,4.41315e-09,0.102617,49.667463999999995,98.96394,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.1e-12,1.9e-12,0.0,-142857142857.14285,-157894736842.10526,-inf,-6.299999999999999e-13,-5.7e-13,-0.0,0.102617,49.667463999999995,98.96394,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.30000099999999996,-0.3,-0.3,-4.07e-11,-1.79357e-08,-1.47089e-08,7371031941.03194,16726417.145692669,20395814.778807387,1.2210040699999998e-11,5.38071e-09,4.41267e-09,0.126028,49.689616,98.98610099999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.36e-11,9e-13,6.000000000000001e-13,-22058823529.411762,-333333333333.3333,-499999999999.99994,-4.0799999999999996e-12,-2.7e-13,-1.8000000000000002e-13,0.126028,49.689616,98.98610099999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-4.39e-11,-1.79326e-08,-1.47076e-08,6833712984.054669,16729308.63343854,20397617.558269195,1.3169999999999998e-11,5.37978e-09,4.41228e-09,0.150032,49.712953999999996,99.00949,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.30000099999999996,2.6900000000000002e-11,2.9e-12,6.3e-12,-11152416356.877321,-103448275862.06895,-47619206349.206345,-8.070000000000001e-12,-8.7e-13,-1.8900063e-12,0.150032,49.712953999999996,99.00949,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-4.26e-11,-1.7929500000000002e-08,-1.4707100000000001e-08,7042253521.1267605,16732201.121057473,20398311.019847553,1.278e-11,5.378850000000001e-09,4.41213e-09,0.172199,49.736377,99.032077,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.49e-11,8.4e-12,9.800000000000001e-12,-12048192771.084337,-35714285714.28571,-30612244897.95918,-7.47e-12,-2.5199999999999998e-12,-2.9400000000000004e-12,0.172199,49.736377,99.032077,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-4.18e-11,-1.79245e-08,-1.4704500000000001e-08,7177033492.822967,16736868.531897683,20401917.780271344,1.254e-11,5.37735e-09,4.4113500000000005e-09,0.195155,49.758542,99.05425,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.01e-11,3.2e-12,7.6e-12,-14925373134.328358,-93750000000.0,-39473684210.52631,-6.03e-12,-9.6e-13,-2.28e-12,0.195155,49.758542,99.05425,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.30000099999999996,-0.3,-0.3,-4.31e-11,-1.79222e-08,-1.4704900000000001e-08,6960580046.403711,16739016.41539543,20401362.811035775,1.2930043099999998e-11,5.37666e-09,4.41147e-09,0.217724,49.782052,99.077905,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.9200000000000002e-11,2.1600000000000002e-11,6.7e-12,-15624999999.999998,-13888888888.888887,-44776119402.98507,-5.7600000000000005e-12,-6.480000000000001e-12,-2.01e-12,0.217724,49.782052,99.077905,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-4.11e-11,-1.79188e-08,-1.47044e-08,7299270072.992701,16742192.557537336,20402056.52729795,1.233e-11,5.37564e-09,4.41132e-09,0.240278,49.805614999999996,99.103088,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.22e-11,7.6e-12,-2e-13,-24590163934.426228,-39473684210.52631,1500000000000.0,-3.66e-12,-2.28e-12,6e-14,0.240278,49.805614999999996,99.103088,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-4.39e-11,-1.79163e-08,-1.4704e-08,6833712984.054669,16744528.725239027,20402611.534276385,1.3169999999999998e-11,5.37489e-09,4.4112e-09,0.26244999999999996,49.827788,99.125261,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.95e-11,5.4000000000000004e-12,2.5000000000000003e-12,-15384615384.615383,-55555555555.55555,-119999999999.99998,-5.85e-12,-1.6200000000000002e-12,-7.5e-13,0.26244999999999996,49.827788,99.125261,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
