CH1 Voltage 1,CH1 Voltage 2,CH1 Voltage 3,CH1 Current 1,CH1 Current 2,CH1 Current 3,CH1 Resistance 1,CH1 Resistance 2,CH1 Resistance 3,CH1 Power 1,CH1 Power 2,CH1 Power 3,CH1 Time 1,CH1 Time 2,CH1 Time 3,CH1 State 1,CH1 State 2,CH1 State 3,CH1 Source 1,CH1 Source 2,CH1 Source 3,CH2 Voltage 1,CH2 Voltage 2,CH2 Voltage 3,CH2 Current 1,CH2 Current 2,CH2 Current 3,CH2 Resistance 1,CH2 Resistance 2,CH2 Resistance 3,CH2 Power 1,CH2 Power 2,CH2 Power 3,CH2 Time 1,CH2 Time 2,CH2 Time 3,CH2 State 1,CH2 State 2,CH2 State 3,CH2 Source 1,CH2 Source 2,CH2 Source 3
-0.3,-0.3,-0.3,-9.59e-11,-2.60462e-08,-2.06948e-08,3128258602.7111573,11517994.94743955,14496395.229719542,2.8769999999999998e-11,7.81386e-09,6.20844e-09,0.066039,50.017388999999994,99.550437,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.704e-10,-5.04e-11,-4.3600000000000003e-11,-1760563380.2816901,5952380952.380952,6880733944.954127,-5.112e-11,1.512e-11,1.308e-11,0.066039,50.017388999999994,99.550437,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.49e-11,-2.60417e-08,-2.06943e-08,3161222339.304531,11519985.254418874,14496745.480639596,2.847e-11,7.81251e-09,6.20829e-09,0.09072999999999999,50.040237,99.57613699999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.64e-10,-4.97e-11,-3.2e-11,-1829268292.6829267,6036217303.822937,9375000000.0,-4.92e-11,1.491e-11,9.6e-12,0.09072999999999999,50.040237,99.57613699999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.44e-11,-2.6036600000000002e-08,-2.0693000000000002e-08,3177966101.694915,11522241.767358257,14497656.212245684,2.832e-11,7.81098e-09,6.2079000000000005e-09,0.11527799999999999,50.062404,99.59925899999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.816e-10,-5.09e-11,-3.18e-11,-1651982378.8546255,5893909626.719057,9433962264.150942,-5.4479999999999996e-11,1.527e-11,9.54e-12,0.11527799999999999,50.062404,99.59925899999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.4e-11,-2.60331e-08,-2.0691100000000002e-08,3191489361.7021275,11523790.866243359,14498987.487373797,2.8199999999999997e-11,7.80993e-09,6.207330000000001e-09,0.13744399999999998,50.084545999999996,99.62143499999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000099999999996,-0.3,-0.3,1.896e-10,-5.01e-11,-3.47e-11,-1582283755.2742615,5988023952.095808,8645533141.210375,-5.6880189599999995e-11,1.503e-11,1.041e-11,0.13744399999999998,50.084545999999996,99.62143499999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.4e-11,-2.60291e-08,-2.0690800000000002e-08,3191489361.7021275,11525561.775090188,14499197.711059986,2.8199999999999997e-11,7.808729999999999e-09,6.20724e-09,0.161072,50.108605,99.64476599999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.513e-10,-5.28e-11,-3.89e-11,-1193792280.143255,5681818181.818181,7712082262.210796,-7.539e-11,1.584e-11,1.167e-11,0.161072,50.108605,99.64476599999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.53e-11,-2.60245e-08,-2.06866e-08,3147953830.0104933,11527598.993256355,14502141.482892307,2.8589999999999998e-11,7.807349999999999e-09,6.20598e-09,0.185337,50.130843,99.689346,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.30000099999999996,2.385e-10,-3.82e-11,-4.27e-11,-1257861635.2201257,7853403141.361256,7025784543.325526,-7.155e-11,1.146e-11,1.2810042699999998e-11,0.185337,50.130843,99.689346,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.51e-11,-2.60192e-08,-2.06847e-08,3154574132.4921136,11529947.115975894,14503473.58192287,2.8529999999999997e-11,7.80576e-09,6.20541e-09,0.20751,50.152969,99.712657,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.30000099999999996,1.844e-10,-4.93e-11,-3.77e-11,-1626898047.7223427,6085192697.768763,7957586206.89655,-5.5319999999999996e-11,1.4789999999999998e-11,1.13100377e-11,0.20751,50.152969,99.712657,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.62e-11,-2.6015800000000002e-08,-2.06819e-08,3118503118.5031185,11531453.962591963,14505437.12134765,2.8859999999999998e-11,7.804740000000001e-09,6.20457e-09,0.231033,50.177113999999996,99.73484499999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.378e-10,-4.92e-11,-3.62e-11,-2177068214.804064,6097560975.6097555,8287292817.679558,-4.134e-11,1.476e-11,1.086e-11,0.231033,50.177113999999996,99.73484499999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.7e-11,-2.6012500000000002e-08,-2.0681000000000002e-08,3092783505.1546392,11532916.866890917,14506068.371935591,2.91e-11,7.80375e-09,6.2043e-09,0.254289,50.200914,99.75869999999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,9.83e-11,-4.72e-11,-3.19e-11,-3051881993.896236,6355932203.38983,9404388714.733541,-2.949e-11,1.416e-11,9.57e-12,0.254289,50.200914,99.75869999999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.610000000000001e-11,-2.60078e-08,-2.06792e-08,3121748178.9802284,11535001.038150093,14507331.037951177,2.8830000000000002e-11,7.80234e-09,6.20376e-09,0.276452,50.223088,99.78124299999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,9.22e-11,-4.74e-11,-3.43e-11,-3253796095.4446855,6329113924.050632,8746355685.131195,-2.7659999999999998e-11,1.4219999999999999e-11,1.0289999999999999e-11,0.276452,50.223088,99.78124299999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.57e-11,-2.60038e-08,-2.0679e-08,3134796238.244514,11536775.394365437,14507471.347744089,2.871e-11,7.80114e-09,6.2037e-09,0.298579,50.246615,99.80458999999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000099999999996,-0.3,-0.3,9.7e-11,-4.66e-11,-4.18e-11,-3092793814.432989,6437768240.343348,7177033492.822967,-2.9100096999999996e-11,1.398e-11,1.254e-11,0.298579,50.246615,99.80458999999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.45e-11,-2.5999100000000002e-08,-2.06757e-08,3174603174.6031747,11538860.96057171,14509786.851231156,2.8349999999999998e-11,7.79973e-09,6.2027099999999996e-09,0.326028,50.269898,99.826758,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.30000099999999996,7.94e-11,-4.54e-11,-3.4e-11,-3778337531.4861455,6607929515.418502,8823558823.529411,-2.382e-11,1.3619999999999999e-11,1.0200033999999998e-11,0.326028,50.269898,99.826758,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.53e-11,-2.59952e-08,-2.06756e-08,3147953830.0104933,11540592.109312488,14509857.029542068,2.8589999999999998e-11,7.79856e-09,6.20268e-09,0.348545,50.293157,99.85036099999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,7.71e-11,-4.52e-11,-4.05e-11,-3891050583.6575875,6637168141.592919,7407407407.407407,-2.313e-11,1.356e-11,1.215e-11,0.348545,50.293157,99.85036099999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
