CH1 Voltage 1,CH1 Voltage 2,CH1 Voltage 3,CH1 Current 1,CH1 Current 2,CH1 Current 3,CH1 Resistance 1,CH1 Resistance 2,CH1 Resistance 3,CH1 Power 1,CH1 Power 2,CH1 Power 3,CH1 Time 1,CH1 Time 2,CH1 Time 3,CH1 State 1,CH1 State 2,CH1 State 3,CH1 Source 1,CH1 Source 2,CH1 Source 3,CH2 Voltage 1,CH2 Voltage 2,CH2 Voltage 3,CH2 Current 1,CH2 Current 2,CH2 Current 3,CH2 Resistance 1,CH2 Resistance 2,CH2 Resistance 3,CH2 Power 1,CH2 Power 2,CH2 Power 3,CH2 Time 1,CH2 Time 2,CH2 Time 3,CH2 State 1,CH2 State 2,CH2 State 3,CH2 Source 1,CH2 Source 2,CH2 Source 3
-0.3,-0.3,-0.3,-1.142e-10,-2.32898e-08,-1.85635e-08,2626970227.670753,12881175.45019708,16160745.54906133,3.426e-11,6.98694e-09,5.5690499999999995e-09,0.055733,49.677051999999996,98.895404,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.054e-10,-2.19e-11,-2.66e-11,-1460564751.7039921,13698630136.986301,11278195488.721804,-6.162e-11,6.57e-12,7.98e-12,0.055733,49.677051999999996,98.895404,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.136e-10,-2.32846e-08,-1.85628e-08,2640845070.422535,12884052.12028551,16161354.968000516,3.408e-11,6.98538e-09,5.56884e-09,0.081067,49.701502,98.919304,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.014e-10,-2.37e-11,-2.1200000000000002e-11,-1489572989.0764647,12658227848.101265,14150943396.226414,-6.042e-11,7.109999999999999e-12,6.36e-12,0.081067,49.701502,98.919304,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.126e-10,-2.32804e-08,-1.8561400000000002e-08,2664298401.420959,12886376.52274016,16162573.94377579,3.378e-11,6.984119999999999e-09,5.5684200000000005e-09,0.103208,49.723672,98.942471,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.30000099999999996,2e-10,-2.36e-11,-1.48e-11,-1500000000.0,12711864406.77966,20270337837.837837,-6e-11,7.08e-12,4.440014799999999e-12,0.103208,49.723672,98.942471,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.1480000000000001e-10,-2.32773e-08,-1.85604e-08,2613240418.118467,12888092.691162635,16163444.753345832,3.444e-11,6.98319e-09,5.56812e-09,0.129219,49.745908,98.96460599999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.30000099999999996,-0.3,2.032e-10,-2.11e-11,-1.57e-11,-1476377952.7559054,14218056872.037912,19108280254.77707,-6.096e-11,6.330021099999999e-12,4.71e-12,0.129219,49.745908,98.96460599999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.146e-10,-2.32727e-08,-1.85594e-08,2617801047.120419,12890640.106218874,16164315.656756146,3.4379999999999995e-11,6.98181e-09,5.5678199999999995e-09,0.151388,49.769298,98.98822299999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.038e-10,-1.9600000000000002e-11,-1.75e-11,-1472031403.3366044,15306122448.97959,17142857142.857141,-6.114e-11,5.880000000000001e-12,5.2500000000000004e-12,0.151388,49.769298,98.98822299999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.1350000000000001e-10,-2.32686e-08,-1.85576e-08,2643171806.1674004,12892911.477269797,16165883.519420613,3.405e-11,6.98058e-09,5.56728e-09,0.173931,49.792561,99.010303,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.032e-10,-4.7e-12,-2.1800000000000002e-11,-1476377952.7559054,63829787234.04256,13761467889.908255,-6.096e-11,1.4099999999999998e-12,6.54e-12,0.173931,49.792561,99.010303,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.134e-10,-2.3263200000000002e-08,-1.85545e-08,2645502645.5026455,12895904.260806765,16168584.440432241,3.402e-11,6.9789600000000005e-09,5.56635e-09,0.196678,49.81473,99.03245799999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.046e-10,-1.73e-11,-2.6300000000000002e-11,-1466275659.8240469,17341040462.427746,11406844106.463877,-6.138e-11,5.19e-12,7.89e-12,0.196678,49.81473,99.03245799999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.13e-10,-2.32581e-08,-1.85536e-08,2654867256.637168,12898732.054639028,16169368.747844083,3.39e-11,6.97743e-09,5.56608e-09,0.219497,49.839568,99.054597,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.0130000000000002e-10,-2.17e-11,-3.83e-11,-1490312965.7228017,13824884792.626728,7832898172.32376,-6.039e-11,6.5099999999999995e-12,1.1489999999999999e-11,0.219497,49.839568,99.054597,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.1350000000000001e-10,-2.32502e-08,-1.8552100000000002e-08,2643171806.1674004,12903114.811915595,16170676.09596757,3.405e-11,6.97506e-09,5.56563e-09,0.24167,49.888399,99.077281,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.988e-10,-1.88e-11,-2.01e-11,-1509054325.9557343,15957446808.51064,14925373134.328358,-5.964e-11,5.639999999999999e-12,6.03e-12,0.24167,49.888399,99.077281,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.1270000000000001e-10,-2.3244600000000002e-08,-1.85498e-08,2661934338.9529724,12906223.380914275,16172681.107073931,3.3810000000000004e-11,6.97338e-09,5.56494e-09,0.26512399999999997,49.910584,99.100698,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.30000099999999996,-0.3,2.086e-10,-2.1000000000000002e-11,-2.01e-11,-1438159156.2799616,14285761904.761902,14925373134.328358,-6.258e-11,6.3000209999999994e-12,6.03e-12,0.26512399999999997,49.910584,99.100698,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
