CH1 Voltage 1,CH1 Voltage 2,CH1 Voltage 3,CH1 Current 1,CH1 Current 2,CH1 Current 3,CH1 Resistance 1,CH1 Resistance 2,CH1 Resistance 3,CH1 Power 1,CH1 Power 2,CH1 Power 3,CH1 Time 1,CH1 Time 2,CH1 Time 3,CH1 State 1,CH1 State 2,CH1 State 3,CH1 Source 1,CH1 Source 2,CH1 Source 3,CH2 Voltage 1,CH2 Voltage 2,CH2 Voltage 3,CH2 Current 1,CH2 Current 2,CH2 Current 3,CH2 Resistance 1,CH2 Resistance 2,CH2 Resistance 3,CH2 Power 1,CH2 Power 2,CH2 Power 3,CH2 Time 1,CH2 Time 2,CH2 Time 3,CH2 State 1,CH2 State 2,CH2 State 3,CH2 Source 1,CH2 Source 2,CH2 Source 3
-0.3,-0.3,-0.3,-8.990000000000001e-11,-2.99354e-08,-2.3726400000000002e-08,3337041156.840934,10021579.801839963,12644143.23285454,2.697e-11,8.980619999999999e-09,7.1179200000000006e-09,0.060003999999999995,49.529923,98.829844,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.29999899999999996,-0.3,1.383e-10,-9.600000000000001e-12,-1.78e-11,-2169197396.9631233,31249895833.333324,16853932584.269663,-4.149e-11,2.8799904e-12,5.3399999999999995e-12,0.060003999999999995,49.529923,98.829844,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-8.96e-11,-2.99265e-08,-2.3726100000000002e-08,3348214285.7142854,10024560.172422435,12644303.109234134,2.6880000000000002e-11,8.97795e-09,7.11783e-09,0.082451,49.554739,98.85546199999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.30000099999999996,1.36e-10,-6.000000000000001e-13,-1.47e-11,-2205882352.9411764,499999999999.99994,20408231292.517002,-4.08e-11,1.8000000000000002e-13,4.4100146999999996e-12,0.082451,49.554739,98.85546199999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-8.96e-11,-2.99211e-08,-2.37226e-08,3348214285.7142854,10026369.351394167,12646168.632443322,2.6880000000000002e-11,8.97633e-09,7.11678e-09,0.107668,49.576904,98.87763,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.356e-10,-3.5e-12,-1.18e-11,-2212389380.5309734,85714285714.2857,25423728813.55932,-4.068e-11,1.05e-12,3.54e-12,0.107668,49.576904,98.87763,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.06e-11,-2.99152e-08,-2.3720100000000002e-08,3311258278.145695,10028346.793603253,12647501.486081423,2.718e-11,8.97456e-09,7.11603e-09,0.132017,49.599022,98.89975199999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.381e-10,6.000000000000001e-13,-1.11e-11,-2172338884.8660393,-499999999999.99994,27027027027.027023,-4.143e-11,-1.8000000000000002e-13,3.33e-12,0.132017,49.599022,98.89975199999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.020000000000001e-11,-2.99083e-08,-2.37187e-08,3325942350.332594,10030660.385244228,12648248.006846918,2.706e-11,8.97249e-09,7.1156099999999996e-09,0.154174,49.621680999999995,98.922356,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000099999999996,-0.3,-0.3,1.388e-10,2.8e-12,-8.6e-12,-2161390489.913544,-107142857142.85713,34883720930.23256,-4.1640138799999994e-11,-8.400000000000001e-13,2.58e-12,0.154174,49.621680999999995,98.922356,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-8.95e-11,-2.99009e-08,-2.3716800000000002e-08,3351955307.26257,10033142.815099211,12649261.283141064,2.685e-11,8.970269999999999e-09,7.115040000000001e-09,0.17629,49.645627999999995,98.945771,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.30000099999999996,1.379e-10,-4e-13,-1.46e-11,-2175489485.134155,750000000000.0,20548013698.630135,-4.137e-11,1.2e-13,4.380014599999999e-12,0.17629,49.645627999999995,98.945771,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.06e-11,-2.9895000000000004e-08,-2.37151e-08,3311258278.145695,10035122.930255894,12650168.03639875,2.718e-11,8.9685e-09,7.1145299999999994e-09,0.19983399999999998,49.667829999999995,98.96794,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.379e-10,-3.3e-12,-1.52e-11,-2175489485.134155,90909090909.0909,19736842105.263157,-4.137e-11,9.9e-13,4.56e-12,0.19983399999999998,49.667829999999995,98.96794,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.020000000000001e-11,-2.98875e-08,-2.37142e-08,3325942350.332594,10037641.154328732,12650648.134872776,2.706e-11,8.966250000000001e-09,7.11426e-09,0.222261,49.692192,98.992615,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.352e-10,-9.800000000000001e-12,-1.58e-11,-2218934911.2426033,30612244897.95918,18987341772.151897,-4.056e-11,2.9400000000000004e-12,4.7399999999999996e-12,0.222261,49.692192,98.992615,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-8.98e-11,-2.98806e-08,-2.37124e-08,3340757238.307349,10039959.036967129,12651608.441153152,2.694e-11,8.96418e-09,7.113719999999999e-09,0.24451299999999998,49.714363,99.01963699999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.326e-10,-8.8e-12,-7.7e-12,-2262443438.9140267,34090909090.909092,38961038961.03896,-3.9780000000000004e-11,2.6399999999999997e-12,2.31e-12,0.24451299999999998,49.714363,99.01963699999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-8.96e-11,-2.98744e-08,-2.37109e-08,3348214285.7142854,10042042.685376108,12652408.807763517,2.6880000000000002e-11,8.96232e-09,7.11327e-09,0.267723,49.737935,99.041811,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.334e-10,-3.4e-12,-1.71e-11,-2248875562.2188907,88235294117.64705,17543859649.122807,-4.002e-11,1.0199999999999999e-12,5.13e-12,0.267723,49.737935,99.041811,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.05e-11,-2.98661e-08,-2.3707000000000002e-08,3314917127.071823,10044833.439920176,12654490.234951701,2.7149999999999998e-11,8.959830000000001e-09,7.1121e-09,0.29136999999999996,49.761724,99.066481,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.357e-10,-9e-13,-1.15e-11,-2210759027.266028,333333333333.3333,26086956521.73913,-4.071e-11,2.7e-13,3.45e-12,0.29136999999999996,49.761724,99.066481,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
