CH1 Voltage 1,CH1 Voltage 2,CH1 Voltage 3,CH1 Current 1,CH1 Current 2,CH1 Current 3,CH1 Resistance 1,CH1 Resistance 2,CH1 Resistance 3,CH1 Power 1,CH1 Power 2,CH1 Power 3,CH1 Time 1,CH1 Time 2,CH1 Time 3,CH1 State 1,CH1 State 2,CH1 State 3,CH1 Source 1,CH1 Source 2,CH1 Source 3,CH2 Voltage 1,CH2 Voltage 2,CH2 Voltage 3,CH2 Current 1,CH2 Current 2,CH2 Current 3,CH2 Resistance 1,CH2 Resistance 2,CH2 Resistance 3,CH2 Power 1,CH2 Power 2,CH2 Power 3,CH2 Time 1,CH2 Time 2,CH2 Time 3,CH2 State 1,CH2 State 2,CH2 State 3,CH2 Source 1,CH2 Source 2,CH2 Source 3
-0.3,-0.3,-0.3,-9.73e-11,-2.35592e-08,-1.77573e-08,3083247687.5642343,12733878.909300825,16894460.306465507,2.919e-11,7.06776e-09,5.3271900000000005e-09,0.058585,49.86513,99.33529999999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,8.25e-11,-1.29e-11,-7.2e-12,-3636363636.363636,23255813953.48837,41666666666.666664,-2.475e-11,3.87e-12,2.16e-12,0.058585,49.86513,99.33529999999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.88e-11,-2.35523e-08,-1.7751200000000002e-08,3036437246.9635625,12737609.490368243,16900265.897516783,2.964e-11,7.06569e-09,5.32536e-09,0.081319,49.908075,99.359543,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,8.41e-11,-1.0100000000000001e-11,-2.15e-11,-3567181926.27824,29702970297.029697,13953488372.093023,-2.523e-11,3.0300000000000002e-12,6.45e-12,0.081319,49.908075,99.359543,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.770000000000001e-11,-2.35456e-08,-1.77524e-08,3070624360.286591,12741234.030986682,16899123.49879453,2.931e-11,7.063679999999999e-09,5.32572e-09,0.103449,49.932116,99.381723,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.30000099999999996,-0.3,8.22e-11,-1.79e-11,-1.66e-11,-3649635036.4963503,16759832402.234634,18072289156.626507,-2.466e-11,5.3700179e-12,4.979999999999999e-12,0.103449,49.932116,99.381723,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.76e-11,-2.3541000000000002e-08,-1.77522e-08,3073770491.8032784,12743723.716069834,16899313.887856152,2.928e-11,7.0623e-09,5.32566e-09,0.127076,49.954280999999995,99.403859,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,8.44e-11,-1.52e-11,-1.53e-11,-3554502369.6682463,19736842105.263157,19607843137.254898,-2.532e-11,4.56e-12,4.5900000000000004e-12,0.127076,49.954280999999995,99.403859,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.89e-11,-2.3539e-08,-1.77483e-08,3033367037.4115267,12744806.491354773,16903027.332195196,2.967e-11,7.061699999999999e-09,5.32449e-09,0.153925,49.976454999999994,99.427261,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.30000099999999996,8.8e-11,-8.7e-12,-9.4e-12,-3409090909.0909085,34482758620.68965,31914999999.999996,-2.64e-11,2.61e-12,2.8200093999999995e-12,0.153925,49.976454999999994,99.427261,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.300002,-9.96e-11,-2.35315e-08,-1.77678e-08,3012048192.7710843,12748868.537917258,16884588.975562535,2.988e-11,7.05945e-09,5.3303755356e-09,0.176058,50.00009,99.450755,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.299996,8.670000000000001e-11,-7.2e-12,3.89e-11,-3460207612.456747,41666666666.666664,-7711979434.4473,-2.6010000000000002e-11,2.16e-12,-1.16698444e-11,0.176058,50.00009,99.450755,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.30000099999999996,-9.83e-11,-2.3527900000000002e-08,-1.77309e-08,3051881993.896236,12750819.240136176,16919671.308281023,2.949e-11,7.05837e-09,5.3192877308999996e-09,0.199536,50.023655999999995,99.472928,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.299998,8.240000000000001e-11,-1.34e-11,-3.89e-11,-3640776699.0291257,22388059701.492535,7712030848.329048,-2.4720000000000003e-11,4.02e-12,1.16699222e-11,0.199536,50.023655999999995,99.472928,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.003e-10,-2.35236e-08,-1.77449e-08,2991026919.242273,12753150.028056929,16906266.025731336,3.009e-11,7.05708e-09,5.323469999999999e-09,0.222888,50.045823999999996,99.497298,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.29999899999999996,-0.30000099999999996,7.96e-11,-7.2e-12,-1.55e-11,-3768844221.1055274,41666527777.77777,19354903225.806446,-2.388e-11,2.1599927999999996e-12,4.6500155e-12,0.222888,50.045823999999996,99.497298,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.0760000000000001e-10,-2.35173e-08,-1.77408e-08,2788104089.2193303,12756566.442576315,16910173.16017316,3.2280000000000004e-11,7.05519e-09,5.322239999999999e-09,0.245057,50.069430999999994,99.521118,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,1.038e-10,-1.72e-11,-1.0600000000000001e-11,-2890173410.404624,17441860465.11628,28301886792.452827,-3.114e-11,5.16e-12,3.18e-12,0.245057,50.069430999999994,99.521118,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.72e-11,-2.35121e-08,-1.77409e-08,3086419753.0864196,12759387.719514633,16910077.842725,2.916e-11,7.05363e-09,5.3222700000000005e-09,0.26719899999999996,50.093011,99.544677,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.30000099999999996,-0.3,8.38e-11,-1.83e-11,-1.24e-11,-3579952267.3031025,16393497267.75956,24193548387.09677,-2.514e-11,5.4900182999999995e-12,3.72e-12,0.26719899999999996,50.093011,99.544677,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.300002,-0.3,-9.94e-11,-2.35498e-08,-1.77401e-08,3018108651.9114685,12739046.616107142,16910840.412399027,2.982e-11,7.0649870996e-09,5.32203e-09,0.289999,50.117697,99.566831,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.299995,-0.30000099999999996,8.910000000000001e-11,7.44e-11,-7.7e-12,-3367003367.0033665,-4032190860.215054,38961168831.16882,-2.673e-11,-2.2319628e-11,2.3100076999999997e-12,0.289999,50.117697,99.566831,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.30000499999999997,-0.3,-1.002e-10,-2.3473200000000002e-08,-1.77375e-08,2994011976.047904,12780745.701480836,16913319.238900635,3.006e-11,7.042077366e-09,5.32125e-09,0.313998,50.139855,99.590139,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.29999,-0.3,8.97e-11,-6.37e-11,-6.7e-12,-3344481605.3511705,4709419152.276295,44776119402.98507,-2.6909999999999997e-11,1.9109362999999997e-11,2.01e-12,0.313998,50.139855,99.590139,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.008e-10,-2.3499200000000002e-08,-1.7735100000000002e-08,2976190476.190476,12766392.047388846,16915608.03153069,3.024e-11,7.04976e-09,5.32053e-09,0.33616599999999996,50.164322,99.613209,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,8.79e-11,-7.4e-12,-9.2e-12,-3412969283.27645,40540540540.54054,32608695652.173912,-2.637e-11,2.22e-12,2.76e-12,0.33616599999999996,50.164322,99.613209,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.81e-11,-2.3493700000000002e-08,-1.77354e-08,3058103975.535168,12769380.727599312,16915321.898575727,2.943e-11,7.04811e-09,5.320620000000001e-09,0.36008799999999996,50.188972,99.635618,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,8.1e-11,-1.11e-11,-1.11e-11,-3703703703.7037034,27027027027.027023,27027027027.027023,-2.43e-11,3.33e-12,3.33e-12,0.36008799999999996,50.188972,99.635618,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.76e-11,-2.34905e-08,-1.7729900000000002e-08,3073770491.8032784,12771120.240097059,16920569.207948152,2.928e-11,7.04715e-09,5.318970000000001e-09,0.38370099999999996,50.211109,99.685411,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.30000099999999996,-0.3,8.13e-11,-1.24e-11,-1.25e-11,-3690036900.3690033,24193629032.25806,24000000000.0,-2.4390000000000003e-11,3.720012399999999e-12,3.75e-12,0.38370099999999996,50.211109,99.685411,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-9.930000000000001e-11,-2.3481e-08,-1.77285e-08,3021148036.253776,12776287.210936502,16921905.40654878,2.979e-11,7.0443e-09,5.318549999999999e-09,0.405868,50.236024,99.708975,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.30000099999999996,8.640000000000001e-11,-1.74e-11,-7.9e-12,-3472222222.222222,17241379310.344826,37974810126.582275,-2.5920000000000003e-11,5.22e-12,2.3700078999999995e-12,0.405868,50.236024,99.708975,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
