CH1_C1_n,CH1_C1_mean_nA,CH1_C1_std_nA,CH1_C1_min_nA,CH1_C1_max_nA,CH1_C1_peak_nA,CH1_C1_peak_time_ms,CH1_V1_mean_V,CH1_V1_min_V,CH1_V1_max_V,CH1_R1_mean_Ohm,CH1_C2_n,CH1_C2_mean_nA,CH1_C2_std_nA,CH1_C2_min_nA,CH1_C2_max_nA,CH1_C2_peak_nA,CH1_C2_peak_time_ms,CH1_V2_mean_V,CH1_V2_min_V,CH1_V2_max_V,CH1_R2_mean_Ohm,CH1_C3_n,CH1_C3_mean_nA,CH1_C3_std_nA,CH1_C3_min_nA,CH1_C3_max_nA,CH1_C3_peak_nA,CH1_C3_peak_time_ms,CH1_V3_mean_V,CH1_V3_min_V,CH1_V3_max_V,CH1_R3_mean_Ohm,CH2_C1_n,CH2_C1_mean_nA,CH2_C1_std_nA,CH2_C1_min_nA,CH2_C1_max_nA,CH2_C1_peak_nA,CH2_C1_peak_time_ms,CH2_V1_mean_V,CH2_V1_min_V,CH2_V1_max_V,CH2_R1_mean_Ohm,CH2_C2_n,CH2_C2_mean_nA,CH2_C2_std_nA,CH2_C2_min_nA,CH2_C2_max_nA,CH2_C2_peak_nA,CH2_C2_peak_time_ms,CH2_V2_mean_V,CH2_V2_min_V,CH2_V2_max_V,CH2_R2_mean_Ohm,CH2_C3_n,CH2_C3_mean_nA,CH2_C3_std_nA,CH2_C3_min_nA,CH2_C3_max_nA,CH2_C3_peak_nA,CH2_C3_peak_time_ms,CH2_V3_mean_V,CH2_V3_min_V,CH2_V3_max_V,CH2_R3_mean_Ohm,device,measurement,type
2000,-12.8619416,6.430364129301478,-20.1334,0.4032,-20.1334,36.719389,-0.2999998259999999,-0.300066,-0.299977,218888438.13186446,2000,-14.251852099999999,1.092589128724835,-16.5177,-12.590800000000002,-16.5177,49.721253,-0.2999999999999999,-0.3,-0.3,21171962.904663347,600,-12.207866666666668,0.20861906531501484,-12.571800000000001,-11.8532,-12.571800000000001,99.24516,-0.29999999999999993,-0.3,-0.3,24581482.165109623,2000,0.00600035,0.11484144192437298,-0.9833,0.9271,-0.9833,25.263874,-0.30000008849999993,-0.300069,-0.299933,5032183548.1216135,2000,-0.016898450000000002,0.00465481215900468,-0.031599999999999996,0.0027,-0.031599999999999996,96.671385,-0.30000008049999993,-0.3000009999999999,-0.2999989999999999,22192762704.625977,602,-0.01657574750830565,0.005118041871819658,-0.0349,-0.0077,-0.0349,102.070097,-0.30000010132890365,-0.3000009999999999,-0.2999989999999999,19755006054.003582,1,1,wafer
2000,-14.0019427,7.4881003655779885,-22.6484,1.1874,-22.6484,35.94976,-0.29999954899999987,-0.300033,-0.299852,355147483.8551069,2000,-16.40390615,1.0953442372999782,-18.653499999999998,-14.7475,-18.653499999999998,49.921381,-0.2999999999999999,-0.3,-0.3,18368738.665982667,553,-14.392337613019892,0.19214036845856589,-14.7279,-14.0624,-14.7279,99.549931,-0.29999999999999993,-0.3,-0.3,20848134.37857424,2000,0.06519205,0.24235373388491765,-2.1657,2.4751000000000003,-2.1657,18.875804,-0.29999979199999993,-0.300058,-0.299934,7545933214.632848,2000,-0.016008950000000004,0.004007805652794966,-0.0332,0.0002,-0.0332,58.097157,-0.3000000644999999,-0.3000009999999999,-0.2999989999999999,19994876784.381096,554,-0.01636407942238267,0.004910665806462341,-0.0251,0.0013000000000000002,-0.0251,100.583223,-0.30000008664259925,-0.3000009999999999,-0.2999989999999999,25345900004.837944,1,2,wafer
2000,-17.503071600000002,8.37846069894138,-26.525000000000002,1.3420999999999998,-26.525000000000002,35.489404,-0.2999996949999999,-0.300043,-0.299908,261796575.2927415,2000,-19.76419105,1.2079921241717297,-22.250200000000003,-17.9587,-22.250200000000003,50.063705,-0.2999999999999999,-0.3,-0.3,15234897.145616008,452,-17.640966814159295,0.17006146223106924,-17.938000000000002,-17.3481,-17.938000000000002,99.565344,-0.29999999999999993,-0.3,-0.3,17007447.68247746,2000,0.05562055,0.2350888746031564,-0.9812000000000001,2.7545,-0.9812000000000001,16.578219999999998,-0.3000000234999999,-0.300056,-0.2999159999999999,-inf,2000,-0.016760949999999997,0.003978736642470204,-0.0307,0.0019,-0.0307,87.94940299999999,-0.300000061,-0.3000009999999999,-0.2999989999999999,21083678627.15639,453,-0.01657792494481236,0.0034320841888435673,-0.027899999999999998,-0.0009,-0.027899999999999998,107.451073,-0.30000005077262687,-0.3000009999999999,-0.2999989999999999,20293701053.50355,1,3,wafer
2000,-19.46688,8.87510722534329,-28.8473,1.2062,-28.8473,34.751963,-0.29999967549999995,-0.3000359999999999,-0.299912,219665171.27555993,2000,-21.797383849999996,1.2348311263445995,-24.319000000000003,-19.9492,-24.319000000000003,50.047545,-0.2999999999999999,-0.3,-0.3,13806728.992738595,581,-19.53477831325301,0.22248289491301154,-19.924500000000002,-19.1587,-19.924500000000002,99.692836,-0.3000000017211704,-0.3000009999999999,-0.3,15359214.024225395,2000,0.0513872,0.25320121406415447,-2.8057,2.9111,-2.8057,30.947171,-0.29999995699999993,-0.300067,-0.299915,12701233581.365677,2000,-0.01679825,0.004480838190890904,-0.036699999999999997,0.0015,-0.036699999999999997,96.15318,-0.30000008349999996,-0.3000009999999999,-0.2999989999999999,18871227433.57527,582,-0.017229553264604812,0.005314684571001426,-0.0368,-0.0057,-0.0368,111.042254,-0.3000000927835051,-0.3000009999999999,-0.2999989999999999,19130658438.172928,1,4,wafer
2000,-20.4752718,9.538924948133193,-30.722500000000004,1.1848999999999998,-30.722500000000004,35.348903,-0.29999982799999986,-0.300116,-0.299981,239517951.75278747,2000,-22.958897850000003,1.3757900881070646,-25.820600000000002,-20.9013,-25.820600000000002,49.984811,-0.30000000149999995,-0.3000009999999999,-0.2999989999999999,13113092.124689342,566,-20.465895759717316,0.2317237080381374,-20.8791,-20.074800000000003,-20.8791,99.691094,-0.30000000000000004,-0.3,-0.3,14660407.57502837,2000,0.10542505,0.2960740414769855,-1.0209000000000001,2.6432,-1.0209000000000001,34.110524,-0.30000018149999996,-0.3000939999999999,-0.299931,-inf,2000,-0.01652575,0.004794790605018429,-0.0351,0.0034000000000000002,-0.0351,72.716307,-0.30000009099999986,-0.3000009999999999,-0.299998,-inf,563,-0.01705577264653641,0.005222158635712422,-0.0344,-0.008499999999999999,-0.0344,112.514972,-0.3000001190053286,-0.3000009999999999,-0.2999989999999999,19124866531.789196,1,5,wafer
2000,-17.022613949999997,8.693931821575294,-26.5863,1.7872,-26.5863,35.518893,-0.2999998519999999,-0.300075,-0.299923,286409198.85589457,2000,-19.14573125,1.4224283563269116,-22.0483,-17.047800000000002,-22.0483,49.532697,-0.30000000149999995,-0.3000009999999999,-0.3,15754598.81134071,2000,-15.715603000000002,0.735261884821072,-17.0273,-14.5441,-17.0273,99.0881,-0.2999999999999999,-0.3,-0.3,19131028.359005217,2000,0.06060814999999999,0.47308012856449466,-0.8431,8.3532,-0.8431,31.736685,-0.29999966949999984,-0.300067,-0.299936,2038760130.6895673,2000,-0.05301285,0.007815528204674273,-0.0903,-0.0247,-0.0903,69.947502,-0.30000010499999985,-0.3000009999999999,-0.2999989999999999,5788815736.183517,2000,-0.043165600000000005,0.005918615686613121,-0.0636,-0.021500000000000002,-0.0636,105.943164,-0.30000009449999987,-0.3000009999999999,-0.2999989999999999,7102322448.821535,2,1,wafer
2000,-16.39344315,9.362634198548557,-27.159499999999998,1.3002,-27.159499999999998,36.011144,-0.2999998089999999,-0.300075,-0.2998889999999999,195405869.9016521,2000,-19.73556485,1.3597171325609483,-22.5746,-17.6829,-22.5746,49.558512,-0.2999999999999999,-0.3,-0.3,15272066.003927933,523,-17.28004760994264,0.22166563315165005,-17.6574,-16.9039,-17.6574,99.364395,-0.29999999999999993,-0.3,-0.3,17363916.607606124,2000,0.17317430000000003,0.8392866925107432,-5.9444,15.770000000000001,-5.9444,23.531878,-0.29999965999999995,-0.3000629999999999,-0.2999199999999999,-inf,2000,-0.0444285,0.005252885316859301,-0.0616,-0.028499999999999998,-0.0616,83.096434,-0.3000000919999999,-0.3000009999999999,-0.2999989999999999,6851041861.550998,524,-0.04057767175572519,0.004123334882545627,-0.056999999999999995,-0.029800000000000004,-0.056999999999999995,99.985678,-0.3000000744274809,-0.3000009999999999,-0.2999989999999999,7465254593.282888,2,2,wafer
2000,-19.62273355,9.465325793608425,-30.1249,1.5975,-30.1249,34.543235,-0.29999983899999993,-0.3000359999999999,-0.2999549999999999,142233847.3014718,2000,-21.77924805,1.4418032173445063,-24.7576,-19.6095,-24.7576,49.829515,-0.2999999999999999,-0.3,-0.3,13834101.289730314,549,-19.149717486338798,0.24786732938881137,-19.584600000000002,-18.729499999999998,-19.584600000000002,99.214997,-0.3,-0.3,-0.3,15668647.104206974,2000,0.09954185000000002,0.6302475315930377,-2.6069,12.443200000000001,-2.6069,16.658625999999998,-0.2999996779999999,-0.300052,-0.299909,1081521850.1415963,2000,-0.0432906,0.005577313408122787,-0.0651,-0.0197,-0.0651,51.217906,-0.3000000779999999,-0.3000009999999999,-0.2999989999999999,7056350961.462711,550,-0.03872545454545454,0.0050041555839252716,-0.0475,-0.020399999999999998,-0.0475,100.951765,-0.30000010181818176,-0.3000009999999999,-0.3,7907072660.452618,2,3,wafer
2000,-22.9075345,8.619586637928998,-31.3685,0.5828,-31.3685,34.203608,-0.2999997019999999,-0.3000359999999999,-0.299931,108300492.44295457,2000,-22.988401000000003,1.4895229690765777,-26.046200000000002,-20.726100000000002,-26.046200000000002,50.017389,-0.30000000049999986,-0.3000009999999999,-0.3,13104138.731231911,602,-20.199448338870436,0.2789689669682739,-20.6948,-19.730900000000002,-20.6948,99.550437,-0.29999999999999993,-0.3,-0.3,14854717.581290642,2000,0.050901150000000006,0.42375060786093127,-2.3069,8.6708,-2.3069,28.362665,-0.2999999694999999,-0.300087,-0.299937,4409870219.270185,2000,-0.04182225,0.00502990058425052,-0.06,-0.0222,-0.06,56.11074,-0.3000000644999999,-0.3000009999999999,-0.2999989999999999,7287103696.56526,599,-0.037092320534223705,0.005180921502604488,-0.0563,-0.028,-0.0563,101.107193,-0.300000101836394,-0.3000009999999999,-0.2999989999999999,8234661829.743672,2,4,wafer
2000,-22.727045849999996,9.37220275750726,-31.873000000000005,0.5259,-31.873000000000005,35.375918,-0.29999965999999995,-0.300069,-0.299905,187932350.0212845,2000,-23.511256300000003,1.558071103362063,-26.715,-21.1797,-26.715,50.065865,-0.30000000049999986,-0.3000009999999999,-0.3,12815116.759124268,975,-20.379600820512817,0.43244415088404536,-21.1535,-19.6399,-21.1535,99.553748,-0.3,-0.3,-0.3,14727222.797199648,2000,0.037479900000000003,0.33826273882328234,-5.6930000000000005,6.0068,-5.6930000000000005,24.949816,-0.2999999619999999,-0.300076,-0.299931,989575651.9948696,2000,-0.0397407,0.0051049411085595225,-0.0609,-0.011000000000000001,-0.0609,52.707082,-0.3000000769999999,-0.3000009999999999,-0.3,7690427593.305282,976,-0.03513206967213115,0.005265865523545383,-0.0443,-0.015500000000000002,-0.0443,99.622872,-0.30000007889344255,-0.3000009999999999,-0.2999989999999999,8785961920.174114,2,5,wafer
