CH1 Voltage 1,CH1 Voltage 2,CH1 Voltage 3,CH1 Current 1,CH1 Current 2,CH1 Current 3,CH1 Resistance 1,CH1 Resistance 2,CH1 Resistance 3,CH1 Power 1,CH1 Power 2,CH1 Power 3,CH1 Time 1,CH1 Time 2,CH1 Time 3,CH1 State 1,CH1 State 2,CH1 State 3,CH1 Source 1,CH1 Source 2,CH1 Source 3,CH2 Voltage 1,CH2 Voltage 2,CH2 Voltage 3,CH2 Current 1,CH2 Current 2,CH2 Current 3,CH2 Resistance 1,CH2 Resistance 2,CH2 Resistance 3,CH2 Power 1,CH2 Power 2,CH2 Power 3,CH2 Time 1,CH2 Time 2,CH2 Time 3,CH2 State 1,CH2 State 2,CH2 State 3,CH2 Source 1,CH2 Source 2,CH2 Source 3
-0.3,-0.3,-0.3,-1.671e-10,-2.93495e-08,-2.28656e-08,1795332136.4452424,10221639.21020801,13120145.546147926,5.013e-11,8.80485e-09,6.85968e-09,0.056090999999999995,50.120464,99.37916299999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.4280000000000003e-10,-1.2000000000000001e-12,-1.54e-11,-1235584843.4925864,249999999999.99997,19480519480.51948,-7.284e-11,3.6000000000000003e-13,4.62e-12,0.056090999999999995,50.120464,99.37916299999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.677e-10,-2.93433e-08,-2.2861300000000002e-08,1788908765.6529517,10223798.959217265,13122613.324701568,5.031e-11,8.80299e-09,6.85839e-09,0.080568,50.145064,99.404837,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.434e-10,-1.53e-11,-1.18e-11,-1232539030.4026294,19607843137.254898,25423728813.55932,-7.302e-11,4.5900000000000004e-12,3.54e-12,0.080568,50.145064,99.404837,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.665e-10,-2.9336000000000002e-08,-2.28605e-08,1801801801.801802,10226343.059721842,13123072.548719406,4.995e-11,8.8008e-09,6.85815e-09,0.102713,50.168188,99.426997,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.412e-10,-2.0800000000000002e-11,-1.79e-11,-1243781094.527363,14423076923.076921,16759776536.312847,-7.236e-11,6.24e-12,5.37e-12,0.102713,50.168188,99.426997,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.663e-10,-2.93313e-08,-2.28595e-08,1803968731.208659,10227981.712368699,13123646.623941906,4.989e-11,8.79939e-09,6.8578499999999994e-09,0.126228,50.190529999999995,99.449162,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.496e-10,-1.9800000000000002e-11,-1.95e-11,-1201923076.9230769,15151515151.51515,15384615384.615383,-7.487999999999999e-11,5.94e-12,5.85e-12,0.126228,50.190529999999995,99.449162,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.668e-10,-2.93257e-08,-2.28567e-08,1798561151.0791366,10229934.835315099,13125254.301802097,5.004e-11,8.79771e-09,6.85701e-09,0.149898,50.216093,99.47369499999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.405e-10,-1.41e-11,-2.03e-11,-1247401247.4012473,21276595744.68085,14778325123.152708,-7.214999999999999e-11,4.2299999999999995e-12,6.09e-12,0.149898,50.216093,99.47369499999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.663e-10,-2.9319e-08,-2.28559e-08,1803968731.208659,10232272.587741738,13125713.710683018,4.989e-11,8.7957e-09,6.85677e-09,0.172059,50.238414,99.497603,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.398e-10,-1.49e-11,-1.28e-11,-1251042535.4462051,20134228187.91946,23437500000.0,-7.194e-11,4.47e-12,3.84e-12,0.172059,50.238414,99.497603,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.656e-10,-2.9312500000000002e-08,-2.28544e-08,1811594202.8985507,10234541.577825159,13126575.189022683,4.9679999999999997e-11,8.79375e-09,6.85632e-09,0.19573,50.260957,99.520049,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.392e-10,-1.6e-11,-1.0500000000000001e-11,-1254180602.0066888,18750000000.0,28571428571.42857,-7.176e-11,4.8e-12,3.15e-12,0.19573,50.260957,99.520049,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.66e-10,-2.9308400000000002e-08,-2.28526e-08,1807228915.6626506,10235973.30458162,13127609.11231107,4.98e-11,8.79252e-09,6.85578e-09,0.218155,50.284634999999994,99.54350199999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.398e-10,-1.61e-11,-9.900000000000001e-12,-1251042535.4462051,18633540372.670807,30303030303.0303,-7.194e-11,4.83e-12,2.97e-12,0.218155,50.284634999999994,99.54350199999999,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.6530000000000001e-10,-2.93033e-08,-2.2849e-08,1814882032.6678765,10237754.792122388,13129677.447590703,4.959e-11,8.79099e-09,6.8547e-09,0.242448,50.306805999999995,99.568691,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.382e-10,-1.66e-11,-1.9200000000000002e-11,-1259445843.8287153,18072289156.626507,15624999999.999998,-7.146e-11,4.979999999999999e-12,5.7600000000000005e-12,0.242448,50.306805999999995,99.568691,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
-0.3,-0.3,-0.3,-1.631e-10,-2.9297200000000002e-08,-2.2847900000000002e-08,1839362354.3838134,10239886.405526808,13130309.568931935,4.893e-11,8.78916e-09,6.85437e-09,0.264605,50.328925999999996,99.590856,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.3,-0.3,-0.3,2.345e-10,-2.13e-11,-1.84e-11,-1279317697.228145,14084507042.253521,16304347826.086956,-7.035000000000001e-11,6.39e-12,5.52e-12,0.264605,50.328925999999996,99.590856,1152.0,1152.0,1152.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
