file,mode,model,analog_layers,train_seed,eval_d2d_seed,sigma_d2d,ppl,wall_clock_time,gpu_id
eval_k107_a1_last1_seed42_c2c0.0_d2d0.04_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,789,0.04,19.51479369150025,65.36520671844482,3
eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,1001,0.05,19.614647070491575,66.80809664726257,6
eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,123,0.05,19.566807398445874,66.4608986377716,1
eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,42,0.05,19.604084172669804,65.80006623268127,0
eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,456,0.05,19.638090632780514,67.92738556861877,2
eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,789,0.05,19.55744527902886,66.0177321434021,4
eval_k107_a1_last1_seed456_c2c0.0_d2d0.02_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,1001,0.02,19.448273036931038,72.1485550403595,0
eval_k107_a1_last1_seed456_c2c0.0_d2d0.02_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,123,0.02,19.384858384703264,72.4341995716095,2
eval_k107_a1_last1_seed456_c2c0.0_d2d0.02_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,42,0.02,19.426546722803696,70.7494261264801,7
eval_k107_a1_last1_seed456_c2c0.0_d2d0.02_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,456,0.02,19.439966667107505,70.64271759986877,3
eval_k107_a1_last1_seed456_c2c0.0_d2d0.02_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,789,0.02,19.37878970455189,68.72951221466064,5
eval_k107_a1_last1_seed456_c2c0.0_d2d0.04_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,1001,0.04,19.557609653314973,71.59259152412415,4
eval_k107_a1_last1_seed456_c2c0.0_d2d0.04_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,123,0.04,19.51270579201682,71.13913774490356,7
eval_k107_a1_last1_seed456_c2c0.0_d2d0.04_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,42,0.04,19.538412490001733,72.02382755279541,6
eval_k107_a1_last1_seed456_c2c0.0_d2d0.04_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,456,0.04,19.557838908063125,73.32581305503845,2
eval_k107_a1_last1_seed456_c2c0.0_d2d0.04_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,789,0.04,19.483484340685603,71.10263204574585,1
eval_k107_a1_last1_seed456_c2c0.0_d2d0.05_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,1001,0.05,19.59336970720261,71.37939691543579,7
eval_k107_a1_last1_seed456_c2c0.0_d2d0.05_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,123,0.05,19.55605627806448,70.00805330276489,3
eval_k107_a1_last1_seed456_c2c0.0_d2d0.05_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,42,0.05,19.583680002336163,69.15043425559998,5
eval_k107_a1_last1_seed456_c2c0.0_d2d0.05_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,456,0.05,19.594615675859796,71.1733386516571,0
eval_k107_a1_last1_seed456_c2c0.0_d2d0.05_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,789,0.05,19.523321873226433,71.45282030105591,6
eval_k107_a2_last2_seed123_c2c0.0_d2d0.02_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,1001,0.02,20.159897020879043,70.58336210250854,5
eval_k107_a2_last2_seed123_c2c0.0_d2d0.02_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,123,0.02,20.066813281239355,71.04001212120056,2
eval_k107_a2_last2_seed123_c2c0.0_d2d0.02_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,42,0.02,20.155528734596537,72.48457956314087,6
eval_k107_a2_last2_seed123_c2c0.0_d2d0.02_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,456,0.02,20.18262235350668,69.0332567691803,1
eval_k107_a2_last2_seed123_c2c0.0_d2d0.02_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,789,0.02,20.099738466412234,68.94204044342041,4
eval_k107_a2_last2_seed123_c2c0.0_d2d0.04_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,1001,0.04,20.471487425225792,70.17587447166443,1
eval_k107_a2_last2_seed123_c2c0.0_d2d0.04_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,123,0.04,20.438992613986386,71.04289841651917,0
eval_k107_a2_last2_seed123_c2c0.0_d2d0.04_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,42,0.04,20.47330940908216,71.61190247535706,3
eval_k107_a2_last2_seed123_c2c0.0_d2d0.04_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,456,0.04,20.497851233470513,70.25931310653687,7
eval_k107_a2_last2_seed123_c2c0.0_d2d0.04_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,789,0.04,20.424300188590145,71.5321831703186,6
eval_k107_a2_last2_seed123_c2c0.0_d2d0.05_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,1001,0.05,20.583283390867177,71.13807034492493,0
eval_k107_a2_last2_seed123_c2c0.0_d2d0.05_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,123,0.05,20.564875587200685,70.58096623420715,4
eval_k107_a2_last2_seed123_c2c0.0_d2d0.05_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,42,0.05,20.591728084387086,73.36916542053223,2
eval_k107_a2_last2_seed123_c2c0.0_d2d0.05_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,456,0.05,20.617241478503125,69.35086369514465,5
eval_k107_a2_last2_seed123_c2c0.0_d2d0.05_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed123,"22,23",,789,0.05,20.550732734979086,70.05404663085938,3
eval_k107_a2_last2_seed42_c2c0.0_d2d0.02_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,1001,0.02,20.110119112511665,71.16863656044006,3
eval_k107_a2_last2_seed42_c2c0.0_d2d0.02_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,123,0.02,20.06493485098596,72.56297779083252,1
eval_k107_a2_last2_seed42_c2c0.0_d2d0.02_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,42,0.02,20.115890661040588,72.93568682670593,2
eval_k107_a2_last2_seed42_c2c0.0_d2d0.02_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,456,0.02,20.14777341371037,71.99752140045166,4
eval_k107_a2_last2_seed42_c2c0.0_d2d0.02_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,789,0.02,20.06999605777201,70.91497778892517,5
eval_k107_a2_last2_seed42_c2c0.0_d2d0.04_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,1001,0.04,20.415931024300484,71.3421356678009,1
eval_k107_a2_last2_seed42_c2c0.0_d2d0.04_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,123,0.04,20.43687736029275,73.62514853477478,6
eval_k107_a2_last2_seed42_c2c0.0_d2d0.04_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,42,0.04,20.412237789104665,70.97084498405457,0
eval_k107_a2_last2_seed42_c2c0.0_d2d0.04_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,456,0.04,20.44696393103088,71.5310411453247,7
eval_k107_a2_last2_seed42_c2c0.0_d2d0.04_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,789,0.04,20.38968174820543,73.40241956710815,2
eval_k107_a2_last2_seed42_c2c0.0_d2d0.05_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,1001,0.05,20.521270330006985,71.24482035636902,7
eval_k107_a2_last2_seed42_c2c0.0_d2d0.05_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,123,0.05,20.561878619535708,71.01502728462219,5
eval_k107_a2_last2_seed42_c2c0.0_d2d0.05_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,42,0.05,20.516276300846418,72.25234937667847,4
eval_k107_a2_last2_seed42_c2c0.0_d2d0.05_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,456,0.05,20.56312494889614,71.78781342506409,3
eval_k107_a2_last2_seed42_c2c0.0_d2d0.05_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed42,"22,23",,789,0.05,20.50097781950708,72.71218180656433,0
eval_k107_a2_last2_seed456_c2c0.0_d2d0.02_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,1001,0.02,20.19791050268733,73.18595600128174,2
eval_k107_a2_last2_seed456_c2c0.0_d2d0.02_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,123,0.02,20.199573505348326,71.26342129707336,6
eval_k107_a2_last2_seed456_c2c0.0_d2d0.02_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,42,0.02,20.207067055717047,71.34902501106262,7
eval_k107_a2_last2_seed456_c2c0.0_d2d0.02_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,456,0.02,20.213188325252528,69.57108998298645,1
eval_k107_a2_last2_seed456_c2c0.0_d2d0.02_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,789,0.02,20.13351122333149,69.91898369789124,4
eval_k107_a2_last2_seed456_c2c0.0_d2d0.04_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,1001,0.04,20.510719135047403,69.4889223575592,6
eval_k107_a2_last2_seed456_c2c0.0_d2d0.04_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,123,0.04,20.55168909758406,71.1748354434967,3
eval_k107_a2_last2_seed456_c2c0.0_d2d0.04_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a2_last2_seed456,"22,23",,42,0.04,20.544920464674195,71.11281085014343,5
