experiment,name,n_states,sigma_c2c,sigma_d2d,hat_training,best_test_acc,mc_mean_acc,mc_std_acc,total_time_s,epochs
C5,C5_4bit_pessimistic_HAT,16,0.1,0.2,True,88.13,87.678,0.13905394636614915,611.6331007480621,200
C6,C6_6bit_noise_HAT,64,0.05,0.1,True,89.62,89.48499999999999,0.13654669530970068,3705.8297867774963,200
C7,C7_4bit_HAT_ADC4,16,0.05,0.1,True,89.19,89.03399999999999,0.14129401968943997,3699.326030254364,200
C8,C8_4bit_HAT_ADC6,16,0.05,0.1,True,89.13,88.878,0.13962807740565694,3697.429817199707,200
