experiment,experiment_name,dataset,time_s,test_loss_mean,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,mc_runs,checkpoint_path,checkpoint_epoch,checkpoint_best_acc
V4,V4_hybrid_standard_noise_hat,cifar10,0,0.4515139739453793,91.627,0.18251636151924167,91.31,91.81,10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,99,91.94
V4,V4_hybrid_standard_noise_hat,cifar10,1,0.9388752170729637,82.664,0.6711217806363027,81.62,83.85,10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,99,91.94
V4,V4_hybrid_standard_noise_hat,cifar10,10,1.1508082268619537,79.133,0.6420635136460838,78.34,80.3,10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,99,91.94
V4,V4_hybrid_standard_noise_hat,cifar10,100,1.1463209365522862,79.048,0.4719180719856653,78.46,79.85,10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,99,91.94
V4,V4_hybrid_standard_noise_hat,cifar10,1000,1.1279201274180413,79.352,0.7181890806434996,78.02,80.44,10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,99,91.94
V4,V4_hybrid_standard_noise_hat,cifar10,10000,1.1194066435599328,79.506,0.6601380327039346,78.84,81.1,10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,99,91.94
