experiment,name,dataset,num_classes,n_states,sigma_c2c,sigma_d2d,hat_training,best_test_acc,mc_mean_acc,mc_std_acc,total_time_s,epochs
C1,C1_FP32_baseline,flowers102,102,16,0.0,0.0,False,33.224914620263455,33.224914620263455,0.0,656.9878225326538,100
C3,C3_4bit_noise_standard,flowers102,102,16,0.05,0.1,False,3.7892340217921614,1.569360871686453,0.8270161026783757,1624.989462852478,100
C4,C4_4bit_noise_HAT,flowers102,102,16,0.05,0.1,True,3.350138233859164,2.0328508700601726,0.6810990922547382,1622.9443604946136,100
