dataset	model_type	experiment	experiment_name	checkpoint	module_path	layer_index	seed_index	seed	baseline_accuracy_mean	accuracy	accuracy_drop	loss	elapsed_seconds	batch_size	test_size	sigma_c2c	sigma_d2d	noise_mode	script	evidence_grade
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer4.0.downsample.0	18	2	20440516	69.92	68.98	0.94	1.342581	1.001	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer4.0.downsample.0	18	3	20440517	69.92	68.99	0.93	1.323017	1.001	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer4.1.conv1	19	1	20450515	69.92	64.8	5.12	1.483373	1.0	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer4.1.conv1	19	2	20450516	69.92	63.82	6.1	1.507065	0.995	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer4.1.conv1	19	3	20450517	69.92	64.4	5.52	1.501743	0.988	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer4.1.conv2	20	1	20460515	69.92	69.61	0.31	1.296343	0.984	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer4.1.conv2	20	2	20460516	69.92	69.52	0.4	1.305647	0.98	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer4.1.conv2	20	3	20460517	69.92	69.68	0.24	1.293039	0.978	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fc	21	1	20470515	69.92	67.38	2.54	1.319166	0.978	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fc	21	2	20470516	69.92	67.42	2.5	1.317088	0.976	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fc	21	3	20470517	69.92	67.63	2.29	1.322107	0.976	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
