experiment,name,n_states,sigma_c2c,sigma_d2d,hat_training,best_test_acc,mc_mean_acc,mc_std_acc,total_time_s,epochs
R1,R1_FP32_baseline,16,0.0,0.0,False,95.46,95.46,0.0,1971.6253626346588,200
R2,R2_4bit_no_noise,16,0.0,0.0,False,94.12,94.12,0.0,2174.639910697937,200
R3,R3_4bit_noise_standard,16,0.05,0.1,False,16.48,17.303000000000004,0.2576839149035111,2170.751688480377,200
R4,R4_4bit_noise_HAT,16,0.05,0.1,True,90.37,89.92,0.1149782588144386,2204.402446269989,200
R5,R5_4bit_pessimistic_HAT,16,0.1,0.2,True,77.92,76.499,0.8015665911201657,2200.7974066734314,200
R6,R6_6bit_noise_HAT,64,0.05,0.1,True,91.2,90.89500000000001,0.1885868500187665,2203.1450428962708,200
