path,is_lfs_pointer,lfs_oid_sha256,lfs_size,blob_preview_bytes
paper2/results/remote107/lm_eval_p28b_fixed500_seed42_analog_p28b_mis_d2d_0.10_standard3.json,True,10a0e4d74e341497791f6c4c3e7ee25a884d2e6c59e52a0cad94fefcc2330122,69233783,133
paper2/results/remote107/lm_eval_p28b_fixed500_seed42_analog_p28b_nstates_1024_standard3.json,True,9deae3a736b4d177a1600e6adb5b59a5ac715e8eca2d5f36fdf4fb409b0da1df,69233772,133
paper2/results/remote107/lm_eval_p28b_fixed500_seed42_analog_p28b_nstates_128_standard3.json,True,f348f46638bea78335e88752d1e7f0b46d0e65b709c7ae467fa3790f5d1f222f,69233806,133
paper2/results/remote107/lm_eval_p28b_fixed500_seed42_analog_p28b_nstates_256_standard3.json,True,0f42a7803f2818bbf58c2aa616515c5f9cfebfb6b11e37f0c99adf5b1c77bdb6,69233705,133
paper2/results/remote107/lm_eval_p28b_fixed500_seed42_analog_p28b_nstates_512_standard3.json,True,0e5d63077dfd4ef0f6fdb649b405bb01f8df4d60627801a89b1ea6f1d800bf31,69233487,133
paper2/results/remote107/lm_eval_p28b_fixed500_seed42_analog_p28b_seed_3373_standard3.json,True,fdf6b6fc11bb6d33c4eb364b323a48facb5b2289abbc29e1a68e1a3f981de08b,69233703,133
paper2/results/remote107/lm_eval_p28b_fixed500_seed42_analog_p28b_seed_3374_standard3.json,True,ed3e557d86251b28fc2bd1d79bf69f46c04475b688e30ede727a74c31f7dfda3,69233503,133
paper2/results/remote107/lm_eval_p28b_fixed500_seed42_analog_p28b_seed_3375_standard3.json,True,97030ecdd52075b69b22e7130cc2ce8b5be79ea499a8b2ef6e4d3af25a3da6dc,69233950,133
paper2/results/remote107/lm_eval_p28b_fixed500_seed42_analog_p28b_seed_3376_standard3.json,True,9d99aa7ac6aa702d2804c955037db15566c5ba84a82906077570e51258ffae7c,69233711,133
paper2/results/remote107/lm_eval_p28b_fixed500_seed42_analog_p28b_seed_3377_standard3.json,True,11fe19f067a7e4c7f42a5ec6b3a5fac087cf1536e64873316aab63bbc7a9a710,69233521,133
paper2/results/remote107/lm_eval_p28b_fixed500_seed42_clean.json,True,47b1aa382a0e031233ec5ece2e7c54eb5df14037a0ddacf9f0695e4ac9e66425,2102,129
paper2/results/remote107/lm_eval_p28b_fixed500_seed42_clean_boolq_mmlu_piqa_winogrande.json,True,5275a5cf330f4281ec2a28ef73d56d7498442a8919769b4d163ee9d95b4f3eb4,78550799,133
paper2/results/remote107/lm_eval_p28b_fixed500_seed42_clean_extended_PARTIAL.json,False,,,1008
paper2/results/remote107/lm_eval_p28b_last2_fixed500_seed42_analog_standard3.json,True,1a06d531d3bb8e97f8ddbc00ad186d5074a0172f2dc944c155d3556794244da1,69233737,133
paper2/results/remote107/lm_eval_p28b_last2_fixed500_seed42_clean_standard3.json,True,757bc990000a825fa3c333c4b68e598d9d87ee552176d75108ae0610dc468414,69233358,133
paper2/results/remote107/lm_eval_p28b_last4_fixed500_seed42_analog_standard3.json,True,b1b5446319239ecd2e4dddd438dd5d2e12cc0f7f0bce4a73f2c9fca1820c3ac6,69232599,133
paper2/results/remote107/lm_eval_p28b_last4_fixed500_seed42_clean_standard3.json,True,c158beb6f57377837bc2f160107dc27239b1e40ef9f80a18a5f957d889b2e00d,69234298,133
paper2/results/remote107/lm_eval_p410m_adaptive_fixed_1000_seed42_analog.json,True,69fbd5ae4b5931c04acd1778427e0e3c72f4459e3877ee08c28e901bffcd1eb5,69221292,133
paper2/results/remote107/lm_eval_p410m_adaptive_fixed_1000_seed42_clean.json,False,,,69222130
paper2/results/remote107/lm_eval_p410m_adaptive_reverse_v1_nofreeze_seed42_analog.json,True,3e389d306184e14af1932bf9c17730a553924399e5e6d8c4075c5e686f7a919e,69220328,133
paper2/results/remote107/lm_eval_p410m_adaptive_reverse_v1_nofreeze_seed42_clean.json,False,,,69221550
paper2/results/remote107/lm_eval_p69b_adaptive_cosine_v1_seed42_analog.json,True,f1ebb07fda7d818c445f15af382c2368530a5dd1e93c2b1dcf2e20aa0d817f6d,69233032,133
paper2/results/remote107/lm_eval_p69b_adaptive_cosine_v1_seed42_analog_boolq_mmlu_piqa_winogrande.json,True,1bc101cac8dfdf0d77bf6ae7b14b41d00c77d0d6730d9d6eccd19cfde64eb433,78550168,133
paper2/results/remote107/lm_eval_p69b_adaptive_cosine_v1_seed42_clean.json,False,,,69234171
paper2/results/remote107/lm_eval_p69b_adaptive_cosine_v1_seed42_clean_boolq_mmlu_piqa_winogrande.json,True,4d0ab0e48a90d9eb7ecaa911b8ec2df39eb2b0207c16aa2768f1cbbe6864f142,78548060,133
paper2/results/remote107/lm_eval_p69b_adaptive_fixed_v1_seed42_analog.json,True,d1b7bfaf03c01533a240e8cb609292a7c3997c1f7062788863a66c59a3128258,69233342,133
paper2/results/remote107/lm_eval_p69b_adaptive_fixed_v1_seed42_analog_boolq_mmlu_piqa_winogrande.json,True,508bbd7ce9ee39149dd4fd52b4978a0ad7bc438793320e1135d85443ec11aa39,78551973,133
paper2/results/remote107/lm_eval_p69b_adaptive_fixed_v1_seed42_clean.json,False,,,69233671
paper2/results/remote107/lm_eval_p69b_adaptive_fixed_v1_seed42_clean_boolq_mmlu_piqa_winogrande.json,True,eed33650fe781ae3c4b9bdd2d46333b8e97cd4c13d3728fd148aeb752e6b1ee0,78549831,133
paper2/results/remote107/lm_eval_p69b_adaptive_layerwise_v1_seed42_analog.json,True,54359769413db35e602cc755287a273057637b9c08ed14762b05af533cc07d74,69233900,133
paper2/results/remote107/lm_eval_p69b_adaptive_layerwise_v1_seed42_analog_boolq_mmlu_piqa_winogrande.json,True,612e636f0b27c0e58fa043457faf4ce294dca4336cca5699dab479d04697041c,78553043,133
paper2/results/remote107/lm_eval_p69b_adaptive_layerwise_v1_seed42_clean.json,False,,,69233947
paper2/results/remote107/lm_eval_p69b_adaptive_layerwise_v1_seed42_clean_boolq_mmlu_piqa_winogrande.json,True,3c8038e9fc7f74a281a320fe90abcd57536487e7968228afcd2222fe67fcf292,78552204,133
paper2/results/remote107/lm_eval_p69b_fixed500_seed42_analog.json,True,3965548815258ae2700bda0f58541d4f5d30d5eafdda43d602f65eda85f2c8ef,2114,129
paper2/results/remote107/lm_eval_p69b_fixed500_seed42_analog_boolq_mmlu_piqa_winogrande.json,True,8ab499aad17e9d8d55483e64e4542df508f0740ee99e8460f4bf36c0a9123816,78551946,133
paper2/results/remote107/lm_eval_p69b_fixed500_seed42_analog_extended_PARTIAL.json,False,,,1006
paper2/results/remote107/lm_eval_p69b_fixed500_seed42_analog_p69b_c2c_0.01_standard3.json,True,08d7d25c0341a3b33b79e2da623f9e6dca86e3752ce1aae20abf464064cef036,69232854,133
