3.05717	9.455E-10	0.05084	1.1523E-9	0.09164	8.949E-10	0.04953	7.362E-10
3.08079	9.454E-10	0.11472	1.1134E-9	0.1245	8.94E-10	0.12118	7.368E-10
3.10992	9.451E-10	0.13846	1.1549E-9	0.19002	9.568E-10	0.18616	8.93E-10
3.1746	9.492E-10	0.16176	1.1554E-9	0.21332	8.928E-10	0.21178	7.346E-10
3.19792	9.452E-10	0.22838	1.0115E-9	0.27811	7.469E-10	0.27679	6.307E-10
3.26488	9.243E-10	0.25372	1.1569E-9	0.30438	8.937E-10	0.30212	7.331E-10
3.28816	9.45E-10	0.27994	1.1558E-9	0.36766	8.981E-10	0.36894	7.303E-10
3.35182	9.051E-10	0.30322	1.1577E-9	0.3921	8.923E-10	0.39351	7.314E-10
3.37513	9.47E-10	0.36938	1.1354E-9	0.45847	7.992E-10	0.42115	7.333E-10
3.44496	9.042E-10	0.39288	1.1571E-9	0.48348	8.935E-10	0.44445	7.325E-10
3.4709	9.467E-10	0.45845	1.3068E-9	0.51345	8.929E-10	0.47139	7.323E-10
3.53513	1.081E-9	0.48483	1.159E-9	0.57799	7.584E-10	0.53377	7.198E-10
3.55844	9.504E-10	0.50815	1.1598E-9	0.60129	8.95E-10	0.55881	7.317E-10
3.66858	8.931E-10	0.53292	1.1601E-9	0.70616	8.277E-10	0.66834	8.463E-10
3.73052	1.0153E-9	0.62075	1.1597E-9	0.73355	8.948E-10	0.6933	7.311E-10
3.75636	9.525E-10	0.68431	1.1673E-9	0.79605	9.905E-10	0.71805	7.302E-10
3.77967	9.518E-10	0.74656	1.1093E-9	0.81964	8.957E-10	0.74142	7.303E-10
3.8422	1.0152E-9	0.77198	1.1632E-9	0.84422	8.963E-10	0.80331	7.64E-10
3.8655	9.535E-10	0.83903	1.2948E-9	0.91361	9.204E-10	0.87373	7.286E-10
3.88882	9.52E-10	0.87552	1.1653E-9	0.94021	8.966E-10	0.93553	6.262E-10
3.95552	9.735E-10	0.90124	1.1651E-9	0.96355	8.962E-10	0.96169	7.278E-10
3.97882	9.54E-10	0.96414	1.1829E-9	1.02916	1.0196E-9	1.02561	8.453E-10
4.04258	9.309E-10	0.98897	1.1664E-9	1.05437	8.96E-10	1.05738	7.274E-10
